trial,label,event_type,timestamp,value,metadata
,dynamic_sart_task_start,SYSTEM,1399166.828,,"{""lsl_timestamp"": 1399167.0177585, ""marker_emit_attempted"": true, ""marker_stream_name"": ""EEGleMarkers"", ""marker_stream_source_id"": ""eegle-markers-dynamic_sart-run-20260820T161425-cd265ce895a2"", ""marker_stream_type"": ""Markers"", ""mode"": ""psychopy"", ""task"": ""dynamic_sart""}"
,dynamic_sart_key_event,EVENT,1399169.0365033,space,"{""assigned_block"": null, ""assigned_phase"": null, ""event_id"": ""key-00000001"", ""hardware_timestamped"": true, ""is_escape_key"": false, ""is_late"": false, ""is_premature"": false, ""is_response_key"": true, ""keyboard_backend"": ""psychopy.hardware.keyboard.Keyboard"", ""keyboard_time"": 2.224507100181654, ""schema"": ""eegle.dynamic_sart.key_event.v1"", ""task_state"": ""INSTRUCTIONS"", ""timestamp_lsl_if_available"": 1399169.2253224002}"
,dynamic_sart_practice_start,SYSTEM,1399169.171,,"{""lsl_timestamp"": 1399169.3608527, ""marker_emit_attempted"": true, ""marker_stream_name"": ""EEGleMarkers"", ""marker_stream_source_id"": ""eegle-markers-dynamic_sart-run-20260820T161425-cd265ce895a2"", ""marker_stream_type"": ""Markers"", ""task"": ""dynamic_sart""}"
-1,dynamic_sart_stimulus_onset__v=1__trial=-1__condition=go__digit=4__block=-1__phase=practice__practice=1,EVENT,1399169.203,,"{""block"": -1, ""condition"": ""go"", ""cue_assignment"": null, ""cue_opportunity"": false, ""cue_opportunity_index"": null, ""cue_randomization_block_index"": null, ""digit"": 4, ""expected_visual_onset_lsl_timestamp"": 1399169.391748, ""expected_visual_onset_monotonic"": 1399169.203, ""expected_visual_onset_uncertainty_ms"": 4.148969997186214, ""fixed_display_latency_ms"": 0.0, ""flip_lsl_timestamp"": 1399169.391748, ""flip_monotonic"": 1399169.203, ""lsl_timestamp"": 1399169.391748, ""marker_emit_attempted"": true, ""marker_stream_name"": ""EEGleMarkers"", ""marker_stream_source_id"": ""eegle-markers-dynamic_sart-run-20260820T161425-cd265ce895a2"", ""marker_stream_type"": ""Markers"", ""phase"": ""practice"", ""photodiode_verification_enabled"": false, ""practice"": true, ""scheduled_on_flip"": true, ""schema_version"": 1, ""sequence_id"": ""237942804d5e24dc51a11ff9281243bab0f3fb0afd493a5da2f3cce232c141d1"", ""study_segment"": null, ""task"": ""dynamic_sart"", ""timing_model"": ""psychopy_callOnFlip_plus_fixed_display_latency""}"
-1,dynamic_sart_stimulus_offset__v=1__trial=-1__condition=go__digit=4__block=-1__phase=practice__practice=1,EVENT,1399169.453,,"{""block"": -1, ""condition"": ""go"", ""cue_assignment"": null, ""cue_opportunity"": false, ""cue_opportunity_index"": null, ""cue_randomization_block_index"": null, ""digit"": 4, ""expected_visual_onset_lsl_timestamp"": 1399169.6508629, ""expected_visual_onset_monotonic"": 1399169.453, ""expected_visual_onset_uncertainty_ms"": 4.148969997186214, ""fixed_display_latency_ms"": 0.0, ""flip_lsl_timestamp"": 1399169.6508629, ""flip_monotonic"": 1399169.453, ""lsl_timestamp"": 1399169.6508629, ""marker_emit_attempted"": true, ""marker_stream_name"": ""EEGleMarkers"", ""marker_stream_source_id"": ""eegle-markers-dynamic_sart-run-20260820T161425-cd265ce895a2"", ""marker_stream_type"": ""Markers"", ""phase"": ""practice"", ""photodiode_verification_enabled"": false, ""practice"": true, ""scheduled_on_flip"": true, ""schema_version"": 1, ""sequence_id"": ""237942804d5e24dc51a11ff9281243bab0f3fb0afd493a5da2f3cce232c141d1"", ""study_segment"": null, ""task"": ""dynamic_sart"", ""timing_model"": ""psychopy_callOnFlip_plus_fixed_display_latency""}"
-1,dynamic_sart_key_event,EVENT,1399170.3626531,space,"{""assigned_block"": -1, ""assigned_phase"": ""practice"", ""event_id"": ""key-00000002"", ""hardware_timestamped"": true, ""is_escape_key"": false, ""is_late"": false, ""is_premature"": false, ""is_response_key"": true, ""keyboard_backend"": ""psychopy.hardware.keyboard.Keyboard"", ""keyboard_time"": 3.550656900042668, ""schema"": ""eegle.dynamic_sart.key_event.v1"", ""task_state"": ""RESPONSE_WINDOW_MASK"", ""timestamp_lsl_if_available"": 1399170.5514722}"
-1,dynamic_sart_response_window_close__v=1__trial=-1__condition=go__digit=4__block=-1__phase=practice__practice=1,EVENT,1399170.812,,"{""block"": -1, ""condition"": ""go"", ""cue_assignment"": null, ""cue_opportunity"": false, ""cue_opportunity_index"": null, ""cue_randomization_block_index"": null, ""digit"": 4, ""flip_lsl_timestamp"": 1399171.0111978, ""flip_monotonic"": 1399170.812, ""lsl_timestamp"": 1399171.0111978, ""phase"": ""practice"", ""practice"": true, ""response_window_close_overshoot_seconds"": 0.008999999845400453, ""scheduled_on_flip"": true, ""scheduled_response_window_close_lsl"": 1399170.991748, ""scheduled_response_window_close_monotonic"": 1399170.803, ""schema_version"": 1, ""sequence_id"": ""237942804d5e24dc51a11ff9281243bab0f3fb0afd493a5da2f3cce232c141d1"", ""study_segment"": null}"
-1,dynamic_sart_trial_complete__v=1__trial=-1__condition=go__digit=4__block=-1__phase=practice__practice=1,EVENT,1399170.812,,"{""block"": -1, ""condition"": ""go"", ""correct"": true, ""cue_assignment"": null, ""cue_opportunity"": false, ""cue_opportunity_index"": null, ""cue_randomization_block_index"": null, ""digit"": 4, ""lsl_timestamp"": 1399171.0111978, ""marker_emit_attempted"": true, ""marker_stream_name"": ""EEGleMarkers"", ""marker_stream_source_id"": ""eegle-markers-dynamic_sart-run-20260820T161425-cd265ce895a2"", ""marker_stream_type"": ""Markers"", ""phase"": ""practice"", ""practice"": true, ""primary_outcome"": ""correct_go"", ""reaction_time_seconds"": 1.1596530999522656, ""schema_version"": 1, ""sequence_id"": ""237942804d5e24dc51a11ff9281243bab0f3fb0afd493a5da2f3cce232c141d1"", ""study_segment"": null, ""task"": ""dynamic_sart""}"
-2,dynamic_sart_stimulus_onset__v=1__trial=-2__condition=go__digit=5__block=-1__phase=practice__practice=1,EVENT,1399171.218,,"{""block"": -1, ""condition"": ""go"", ""cue_assignment"": null, ""cue_opportunity"": false, ""cue_opportunity_index"": null, ""cue_randomization_block_index"": null, ""digit"": 5, ""expected_visual_onset_lsl_timestamp"": 1399171.411488, ""expected_visual_onset_monotonic"": 1399171.218, ""expected_visual_onset_uncertainty_ms"": 4.148969997186214, ""fixed_display_latency_ms"": 0.0, ""flip_lsl_timestamp"": 1399171.411488, ""flip_monotonic"": 1399171.218, ""lsl_timestamp"": 1399171.411488, ""marker_emit_attempted"": true, ""marker_stream_name"": ""EEGleMarkers"", ""marker_stream_source_id"": ""eegle-markers-dynamic_sart-run-20260820T161425-cd265ce895a2"", ""marker_stream_type"": ""Markers"", ""phase"": ""practice"", ""photodiode_verification_enabled"": false, ""practice"": true, ""scheduled_on_flip"": true, ""schema_version"": 1, ""sequence_id"": ""237942804d5e24dc51a11ff9281243bab0f3fb0afd493a5da2f3cce232c141d1"", ""study_segment"": null, ""task"": ""dynamic_sart"", ""timing_model"": ""psychopy_callOnFlip_plus_fixed_display_latency""}"
-2,dynamic_sart_stimulus_offset__v=1__trial=-2__condition=go__digit=5__block=-1__phase=practice__practice=1,EVENT,1399171.468,,"{""block"": -1, ""condition"": ""go"", ""cue_assignment"": null, ""cue_opportunity"": false, ""cue_opportunity_index"": null, ""cue_randomization_block_index"": null, ""digit"": 5, ""expected_visual_onset_lsl_timestamp"": 1399171.6650587, ""expected_visual_onset_monotonic"": 1399171.468, ""expected_visual_onset_uncertainty_ms"": 4.148969997186214, ""fixed_display_latency_ms"": 0.0, ""flip_lsl_timestamp"": 1399171.6650587, ""flip_monotonic"": 1399171.468, ""lsl_timestamp"": 1399171.6650587, ""marker_emit_attempted"": true, ""marker_stream_name"": ""EEGleMarkers"", ""marker_stream_source_id"": ""eegle-markers-dynamic_sart-run-20260820T161425-cd265ce895a2"", ""marker_stream_type"": ""Markers"", ""phase"": ""practice"", ""photodiode_verification_enabled"": false, ""practice"": true, ""scheduled_on_flip"": true, ""schema_version"": 1, ""sequence_id"": ""237942804d5e24dc51a11ff9281243bab0f3fb0afd493a5da2f3cce232c141d1"", ""study_segment"": null, ""task"": ""dynamic_sart"", ""timing_model"": ""psychopy_callOnFlip_plus_fixed_display_latency""}"
