schema,global_trial_index,phase,condition,analysis_eligible,current_valid_go_rt_seconds,current_valid_go_log_rt,current_log_rt_support_robust_z,support_relative_slow,support_relative_slow_confidence,support_relative_slow_is_primary,support_relative_very_slow,support_relative_very_slow_confidence,support_relative_very_slow_is_primary,commission_error,omission_error,premature_response,too_fast_response,multiple_response,wrong_key_response,late_response,behavioral_failure_composite_v1,behavioral_failure_composite_v1_confidence,behavioral_failure_composite_v1_is_primary,previous_valid_go_rt_seconds,previous_valid_go_log_rt,rolling_log_rt_median_previous_5,rolling_log_rt_mad_previous_5,rolling_log_rt_median_previous_10,rolling_log_rt_mad_previous_10,rolling_log_rt_median_previous_20,rolling_log_rt_mad_previous_20,previous_primary_outcome,recent_commission_count,recent_omission_count,recent_behavioral_failure_count,trials_since_error,trials_since_no_go,time_since_previous_response,time_on_task_seconds,next_valid_go_trial_index,next_valid_go_trial_distance,next_valid_go_time_distance_seconds,next_valid_go_rt_seconds,next_valid_go_log_rt,next_log_rt_support_robust_z,next_valid_go_status,future_slow_any_next_3_valid_go_trials,future_very_slow_any_next_5_valid_go_trials,future_very_slow_any_next_5_valid_go_trials_confidence,future_very_slow_any_next_5_valid_go_trials_is_primary,future_commission_any_next_5_experimental_trials,future_omission_any_next_5_experimental_trials,future_behavioral_failure_any_next_5_experimental_trials,future_behavioral_failure_any_next_5_experimental_trials_confidence,future_behavioral_failure_any_next_5_experimental_trials_is_primary,future_target_maturity,target_maturity_trial,target_maturity_phase,available_at_support_complete,support_calibration_eligible_targets,trials_since_behavioral_failure,post_commission_trial,post_omission_trial,recovery_1_to_3_trials_after_behavioral_failure,reference_hash
eegle.dynamic_sart.labels.v2,1,support,go,1,0.2180397999472916,-1.5230776642911026,-1.043559095485323,0,low,1,0,low_unattainable_by_design,0,0,0,0,0,0,0,0,0,low_unattainable_by_design,0,,,,,,,,,,0,0,0,,,,134.0930000001099,2,1,1.5939999998081475,0.5120265001896769,-0.6693788970990752,4.61623271077116,available,1,1,low_unattainable_by_design,0,1,0,1,low_unattainable_by_design,0,"{""future_behavioral_failure_any_next_5_experimental_trials"":{""available_at_support_complete"":true,""target_maturity_phase"":""support"",""target_maturity_trial"":6},""future_commission_any_next_5_experimental_trials"":{""available_at_support_complete"":true,""target_maturity_phase"":""support"",""target_maturity_trial"":6},""future_omission_any_next_5_experimental_trials"":{""available_at_support_complete"":true,""target_maturity_phase"":""support"",""target_maturity_trial"":6},""future_slow_any_next_3_valid_go_trials"":{""available_at_support_complete"":true,""target_maturity_phase"":""support"",""target_maturity_trial"":4},""future_very_slow_any_next_5_valid_go_trials"":{""available_at_support_complete"":true,""target_maturity_phase"":""support"",""target_maturity_trial"":7},""next_log_rt_support_robust_z"":{""available_at_support_complete"":true,""target_maturity_phase"":""support"",""target_maturity_trial"":2},""next_valid_go_log_rt"":{""available_at_support_complete"":true,""target_maturity_phase"":""support"",""target_maturity_trial"":2},""next_valid_go_rt_seconds"":{""available_at_support_complete"":true,""target_maturity_phase"":""support"",""target_maturity_trial"":2}}",7,support,1,"[""next_valid_go_rt_seconds"",""next_valid_go_log_rt"",""next_log_rt_support_robust_z"",""future_slow_any_next_3_valid_go_trials"",""future_very_slow_any_next_5_valid_go_trials"",""future_commission_any_next_5_experimental_trials"",""future_omission_any_next_5_experimental_trials"",""future_behavioral_failure_any_next_5_experimental_trials""]",,0,0,0,e0265a7d5c08f78c252338c0dae3379748a6232faf49bfadd2d3d01335cda291
eegle.dynamic_sart.labels.v2,2,support,go,1,0.5120265001896769,-0.6693788970990752,4.61623271077116,1,low,1,1,low_unattainable_by_design,0,0,0,0,0,0,0,0,1,low_unattainable_by_design,0,0.2180397999472916,-1.5230776642911026,-1.5230776642911026,0.0,-1.5230776642911026,0.0,-1.5230776642911026,0.0,correct_go,0,0,0,,,1.375960199860856,135.68699999991804,3,1,1.5940000000409782,0.25520920008420944,-1.3656716776745914,0.0,available,0,0,low_unattainable_by_design,0,1,0,1,low_unattainable_by_design,0,"{""future_behavioral_failure_any_next_5_experimental_trials"":{""available_at_support_complete"":true,""target_maturity_phase"":""support"",""target_maturity_trial"":7},""future_commission_any_next_5_experimental_trials"":{""available_at_support_complete"":true,""target_maturity_phase"":""support"",""target_maturity_trial"":7},""future_omission_any_next_5_experimental_trials"":{""available_at_support_complete"":true,""target_maturity_phase"":""support"",""target_maturity_trial"":7},""future_slow_any_next_3_valid_go_trials"":{""available_at_support_complete"":true,""target_maturity_phase"":""support"",""target_maturity_trial"":5},""future_very_slow_any_next_5_valid_go_trials"":{""available_at_support_complete"":true,""target_maturity_phase"":""support"",""target_maturity_trial"":8},""next_log_rt_support_robust_z"":{""available_at_support_complete"":true,""target_maturity_phase"":""support"",""target_maturity_trial"":3},""next_valid_go_log_rt"":{""available_at_support_complete"":true,""target_maturity_phase"":""support"",""target_maturity_trial"":3},""next_valid_go_rt_seconds"":{""available_at_support_complete"":true,""target_maturity_phase"":""support"",""target_maturity_trial"":3}}",8,support,1,"[""next_valid_go_rt_seconds"",""next_valid_go_log_rt"",""next_log_rt_support_robust_z"",""future_slow_any_next_3_valid_go_trials"",""future_very_slow_any_next_5_valid_go_trials"",""future_commission_any_next_5_experimental_trials"",""future_omission_any_next_5_experimental_trials"",""future_behavioral_failure_any_next_5_experimental_trials""]",,0,0,0,e0265a7d5c08f78c252338c0dae3379748a6232faf49bfadd2d3d01335cda291
eegle.dynamic_sart.labels.v2,3,support,go,1,0.25520920008420944,-1.3656716776745914,0.0,0,low,1,0,low_unattainable_by_design,0,0,0,0,0,0,0,0,0,low_unattainable_by_design,0,0.5120265001896769,-0.6693788970990752,-1.096228280695089,0.4268493835960137,-1.096228280695089,0.4268493835960137,-1.096228280695089,0.4268493835960137,correct_go,0,0,1,,,1.0819734998513013,137.28099999995902,4,1,1.5940000000409782,0.24572820006869733,-1.4035292316467078,-0.25098533816683033,available,0,0,low_unattainable_by_design,0,1,0,1,low_unattainable_by_design,0,"{""future_behavioral_failure_any_next_5_experimental_trials"":{""available_at_support_complete"":true,""target_maturity_phase"":""support"",""target_maturity_trial"":8},""future_commission_any_next_5_experimental_trials"":{""available_at_support_complete"":true,""target_maturity_phase"":""support"",""target_maturity_trial"":8},""future_omission_any_next_5_experimental_trials"":{""available_at_support_complete"":true,""target_maturity_phase"":""support"",""target_maturity_trial"":8},""future_slow_any_next_3_valid_go_trials"":{""available_at_support_complete"":true,""target_maturity_phase"":""support"",""target_maturity_trial"":7},""future_very_slow_any_next_5_valid_go_trials"":{""available_at_support_complete"":true,""target_maturity_phase"":""support"",""target_maturity_trial"":9},""next_log_rt_support_robust_z"":{""available_at_support_complete"":true,""target_maturity_phase"":""support"",""target_maturity_trial"":4},""next_valid_go_log_rt"":{""available_at_support_complete"":true,""target_maturity_phase"":""support"",""target_maturity_trial"":4},""next_valid_go_rt_seconds"":{""available_at_support_complete"":true,""target_maturity_phase"":""support"",""target_maturity_trial"":4}}",9,support,1,"[""next_valid_go_rt_seconds"",""next_valid_go_log_rt"",""next_log_rt_support_robust_z"",""future_slow_any_next_3_valid_go_trials"",""future_very_slow_any_next_5_valid_go_trials"",""future_commission_any_next_5_experimental_trials"",""future_omission_any_next_5_experimental_trials"",""future_behavioral_failure_any_next_5_experimental_trials""]",1,0,0,1,e0265a7d5c08f78c252338c0dae3379748a6232faf49bfadd2d3d01335cda291
eegle.dynamic_sart.labels.v2,4,support,go,1,0.24572820006869733,-1.4035292316467078,-0.25098533816683033,0,low,1,0,low_unattainable_by_design,0,0,0,0,0,0,0,0,0,low_unattainable_by_design,0,0.25520920008420944,-1.3656716776745914,-1.3656716776745914,0.15740598661651117,-1.3656716776745914,0.15740598661651117,-1.3656716776745914,0.15740598661651117,correct_go,0,0,1,,,1.3387907999567688,138.875,5,1,1.6089999999385327,0.2629472999833524,-1.335801647174621,0.19803021905774457,available,0,0,low_unattainable_by_design,0,1,0,1,low_unattainable_by_design,0,"{""future_behavioral_failure_any_next_5_experimental_trials"":{""available_at_support_complete"":true,""target_maturity_phase"":""support"",""target_maturity_trial"":9},""future_commission_any_next_5_experimental_trials"":{""available_at_support_complete"":true,""target_maturity_phase"":""support"",""target_maturity_trial"":9},""future_omission_any_next_5_experimental_trials"":{""available_at_support_complete"":true,""target_maturity_phase"":""support"",""target_maturity_trial"":9},""future_slow_any_next_3_valid_go_trials"":{""available_at_support_complete"":true,""target_maturity_phase"":""support"",""target_maturity_trial"":8},""future_very_slow_any_next_5_valid_go_trials"":{""available_at_support_complete"":true,""target_maturity_phase"":""support"",""target_maturity_trial"":10},""next_log_rt_support_robust_z"":{""available_at_support_complete"":true,""target_maturity_phase"":""support"",""target_maturity_trial"":5},""next_valid_go_log_rt"":{""available_at_support_complete"":true,""target_maturity_phase"":""support"",""target_maturity_trial"":5},""next_valid_go_rt_seconds"":{""available_at_support_complete"":true,""target_maturity_phase"":""support"",""target_maturity_trial"":5}}",10,support,1,"[""next_valid_go_rt_seconds"",""next_valid_go_log_rt"",""next_log_rt_support_robust_z"",""future_slow_any_next_3_valid_go_trials"",""future_very_slow_any_next_5_valid_go_trials"",""future_commission_any_next_5_experimental_trials"",""future_omission_any_next_5_experimental_trials"",""future_behavioral_failure_any_next_5_experimental_trials""]",2,0,0,1,e0265a7d5c08f78c252338c0dae3379748a6232faf49bfadd2d3d01335cda291
eegle.dynamic_sart.labels.v2,5,support,go,1,0.2629472999833524,-1.335801647174621,0.19803021905774457,0,low,1,0,low_unattainable_by_design,0,0,0,0,0,0,0,0,0,low_unattainable_by_design,0,0.24572820006869733,-1.4035292316467078,-1.3846004546606496,0.07870299330825559,-1.3846004546606496,0.07870299330825559,-1.3846004546606496,0.07870299330825559,correct_go,0,0,1,,,1.3632717998698354,140.48399999993853,7,2,3.1880000000819564,0.23052199999801815,-1.4674089764231188,-0.6744907594765952,available,1,0,low_unattainable_by_design,0,1,0,1,low_unattainable_by_design,0,"{""future_behavioral_failure_any_next_5_experimental_trials"":{""available_at_support_complete"":true,""target_maturity_phase"":""support"",""target_maturity_trial"":10},""future_commission_any_next_5_experimental_trials"":{""available_at_support_complete"":true,""target_maturity_phase"":""support"",""target_maturity_trial"":10},""future_omission_any_next_5_experimental_trials"":{""available_at_support_complete"":true,""target_maturity_phase"":""support"",""target_maturity_trial"":10},""future_slow_any_next_3_valid_go_trials"":{""available_at_support_complete"":true,""target_maturity_phase"":""support"",""target_maturity_trial"":9},""future_very_slow_any_next_5_valid_go_trials"":{""available_at_support_complete"":false,""target_maturity_phase"":""query"",""target_maturity_trial"":11},""next_log_rt_support_robust_z"":{""available_at_support_complete"":true,""target_maturity_phase"":""support"",""target_maturity_trial"":7},""next_valid_go_log_rt"":{""available_at_support_complete"":true,""target_maturity_phase"":""support"",""target_maturity_trial"":7},""next_valid_go_rt_seconds"":{""available_at_support_complete"":true,""target_maturity_phase"":""support"",""target_maturity_trial"":7}}",11,query,0,"[""next_valid_go_rt_seconds"",""next_valid_go_log_rt"",""next_log_rt_support_robust_z"",""future_slow_any_next_3_valid_go_trials"",""future_commission_any_next_5_experimental_trials"",""future_omission_any_next_5_experimental_trials"",""future_behavioral_failure_any_next_5_experimental_trials""]",3,0,0,1,e0265a7d5c08f78c252338c0dae3379748a6232faf49bfadd2d3d01335cda291
eegle.dynamic_sart.labels.v2,6,support,no_go,1,,,,,low,1,,low_unattainable_by_design,0,1,0,0,0,0,0,0,1,low_unattainable_by_design,0,0.2629472999833524,-1.335801647174621,-1.3656716776745914,0.03785755397211643,-1.3656716776745914,0.03785755397211643,-1.3656716776745914,0.03785755397211643,correct_go,0,0,1,,,1.3310527000576258,142.0779999999795,7,1,1.5940000000409782,0.23052199999801815,-1.4674089764231188,-0.6744907594765952,available,1,0,low_unattainable_by_design,0,0,0,0,low_unattainable_by_design,0,"{""future_behavioral_failure_any_next_5_experimental_trials"":{""available_at_support_complete"":false,""target_maturity_phase"":""query"",""target_maturity_trial"":11},""future_commission_any_next_5_experimental_trials"":{""available_at_support_complete"":false,""target_maturity_phase"":""query"",""target_maturity_trial"":11},""future_omission_any_next_5_experimental_trials"":{""available_at_support_complete"":false,""target_maturity_phase"":""query"",""target_maturity_trial"":11},""future_slow_any_next_3_valid_go_trials"":{""available_at_support_complete"":true,""target_maturity_phase"":""support"",""target_maturity_trial"":9},""future_very_slow_any_next_5_valid_go_trials"":{""available_at_support_complete"":false,""target_maturity_phase"":""query"",""target_maturity_trial"":11},""next_log_rt_support_robust_z"":{""available_at_support_complete"":true,""target_maturity_phase"":""support"",""target_maturity_trial"":7},""next_valid_go_log_rt"":{""available_at_support_complete"":true,""target_maturity_phase"":""support"",""target_maturity_trial"":7},""next_valid_go_rt_seconds"":{""available_at_support_complete"":true,""target_maturity_phase"":""support"",""target_maturity_trial"":7}}",11,query,0,"[""next_valid_go_rt_seconds"",""next_valid_go_log_rt"",""next_log_rt_support_robust_z"",""future_slow_any_next_3_valid_go_trials""]",4,0,0,0,e0265a7d5c08f78c252338c0dae3379748a6232faf49bfadd2d3d01335cda291
eegle.dynamic_sart.labels.v2,7,support,go,1,0.23052199999801815,-1.4674089764231188,-0.6744907594765952,0,low,1,0,low_unattainable_by_design,0,0,0,0,0,0,0,0,0,low_unattainable_by_design,0,0.2629472999833524,-1.335801647174621,-1.3656716776745914,0.03785755397211643,-1.3656716776745914,0.03785755397211643,-1.3656716776745914,0.03785755397211643,commission_error,1,0,2,1,1,1.3701750999316573,143.6720000000205,8,1,1.6089999999385327,0.22138840006664395,-1.5078366536364511,-0.942515319229218,available,1,0,low_unattainable_by_design,0,0,0,0,low_unattainable_by_design,0,"{""future_behavioral_failure_any_next_5_experimental_trials"":{""available_at_support_complete"":false,""target_maturity_phase"":""query"",""target_maturity_trial"":12},""future_commission_any_next_5_experimental_trials"":{""available_at_support_complete"":false,""target_maturity_phase"":""query"",""target_maturity_trial"":12},""future_omission_any_next_5_experimental_trials"":{""available_at_support_complete"":false,""target_maturity_phase"":""query"",""target_maturity_trial"":12},""future_slow_any_next_3_valid_go_trials"":{""available_at_support_complete"":true,""target_maturity_phase"":""support"",""target_maturity_trial"":10},""future_very_slow_any_next_5_valid_go_trials"":{""available_at_support_complete"":false,""target_maturity_phase"":""query"",""target_maturity_trial"":12},""next_log_rt_support_robust_z"":{""available_at_support_complete"":true,""target_maturity_phase"":""support"",""target_maturity_trial"":8},""next_valid_go_log_rt"":{""available_at_support_complete"":true,""target_maturity_phase"":""support"",""target_maturity_trial"":8},""next_valid_go_rt_seconds"":{""available_at_support_complete"":true,""target_maturity_phase"":""support"",""target_maturity_trial"":8}}",12,query,0,"[""next_valid_go_rt_seconds"",""next_valid_go_log_rt"",""next_log_rt_support_robust_z"",""future_slow_any_next_3_valid_go_trials""]",1,1,0,1,e0265a7d5c08f78c252338c0dae3379748a6232faf49bfadd2d3d01335cda291
eegle.dynamic_sart.labels.v2,8,support,go,1,0.22138840006664395,-1.5078366536364511,-0.942515319229218,0,low,1,0,low_unattainable_by_design,0,0,0,0,0,0,0,0,0,low_unattainable_by_design,0,0.23052199999801815,-1.4674089764231188,-1.3656716776745914,0.03785755397211643,-1.3846004546606496,0.06580366462424891,-1.3846004546606496,0.06580366462424891,correct_go,1,0,2,2,2,1.3784779999405146,145.28099999995902,9,1,1.5940000000409782,0.3191251000389457,-1.1421720899416643,1.4817417852355734,available,1,0,low_unattainable_by_design,0,0,0,0,low_unattainable_by_design,0,"{""future_behavioral_failure_any_next_5_experimental_trials"":{""available_at_support_complete"":false,""target_maturity_phase"":""query"",""target_maturity_trial"":13},""future_commission_any_next_5_experimental_trials"":{""available_at_support_complete"":false,""target_maturity_phase"":""query"",""target_maturity_trial"":13},""future_omission_any_next_5_experimental_trials"":{""available_at_support_complete"":false,""target_maturity_phase"":""query"",""target_maturity_trial"":13},""future_slow_any_next_3_valid_go_trials"":{""available_at_support_complete"":false,""target_maturity_phase"":""query"",""target_maturity_trial"":11},""future_very_slow_any_next_5_valid_go_trials"":{""available_at_support_complete"":false,""target_maturity_phase"":""query"",""target_maturity_trial"":13},""next_log_rt_support_robust_z"":{""available_at_support_complete"":true,""target_maturity_phase"":""support"",""target_maturity_trial"":9},""next_valid_go_log_rt"":{""available_at_support_complete"":true,""target_maturity_phase"":""support"",""target_maturity_trial"":9},""next_valid_go_rt_seconds"":{""available_at_support_complete"":true,""target_maturity_phase"":""support"",""target_maturity_trial"":9}}",13,query,0,"[""next_valid_go_rt_seconds"",""next_valid_go_log_rt"",""next_log_rt_support_robust_z""]",2,0,0,1,e0265a7d5c08f78c252338c0dae3379748a6232faf49bfadd2d3d01335cda291
eegle.dynamic_sart.labels.v2,9,support,go,1,0.3191251000389457,-1.1421720899416643,1.4817417852355734,1,low,1,0,low_unattainable_by_design,0,0,0,0,0,0,0,0,0,low_unattainable_by_design,0,0.22138840006664395,-1.5078366536364511,-1.4035292316467078,0.06387974477641101,-1.4035292316467078,0.06772758447208682,-1.4035292316467078,0.06772758447208682,correct_go,1,0,2,3,3,1.3726115999743342,146.875,10,1,1.6089999999385327,0.2562897000461817,-1.3614468335199794,0.028009573456025578,available,1,0,low_unattainable_by_design,0,0,0,0,low_unattainable_by_design,0,"{""future_behavioral_failure_any_next_5_experimental_trials"":{""available_at_support_complete"":false,""target_maturity_phase"":""query"",""target_maturity_trial"":14},""future_commission_any_next_5_experimental_trials"":{""available_at_support_complete"":false,""target_maturity_phase"":""query"",""target_maturity_trial"":14},""future_omission_any_next_5_experimental_trials"":{""available_at_support_complete"":false,""target_maturity_phase"":""query"",""target_maturity_trial"":14},""future_slow_any_next_3_valid_go_trials"":{""available_at_support_complete"":false,""target_maturity_phase"":""query"",""target_maturity_trial"":12},""future_very_slow_any_next_5_valid_go_trials"":{""available_at_support_complete"":false,""target_maturity_phase"":""query"",""target_maturity_trial"":14},""next_log_rt_support_robust_z"":{""available_at_support_complete"":true,""target_maturity_phase"":""support"",""target_maturity_trial"":10},""next_valid_go_log_rt"":{""available_at_support_complete"":true,""target_maturity_phase"":""support"",""target_maturity_trial"":10},""next_valid_go_rt_seconds"":{""available_at_support_complete"":true,""target_maturity_phase"":""support"",""target_maturity_trial"":10}}",14,query,0,"[""next_valid_go_rt_seconds"",""next_valid_go_log_rt"",""next_log_rt_support_robust_z""]",3,0,0,1,e0265a7d5c08f78c252338c0dae3379748a6232faf49bfadd2d3d01335cda291
eegle.dynamic_sart.labels.v2,10,support,go,1,0.2562897000461817,-1.3614468335199794,0.028009573456025578,0,low,1,0,low_unattainable_by_design,0,0,0,0,0,0,0,0,0,low_unattainable_by_design,0,0.3191251000389457,-1.1421720899416643,-1.4035292316467078,0.06772758447208682,-1.3846004546606496,0.10302236036913537,-1.3846004546606496,0.10302236036913537,correct_go,1,0,2,4,4,1.289874899899587,148.48399999993853,11,1,1.702999999979511,0.3226402001455426,-1.1312175080801767,1.554367698547531,available,1,0,low_unattainable_by_design,0,0,0,0,low_unattainable_by_design,0,"{""future_behavioral_failure_any_next_5_experimental_trials"":{""available_at_support_complete"":false,""target_maturity_phase"":""query"",""target_maturity_trial"":15},""future_commission_any_next_5_experimental_trials"":{""available_at_support_complete"":false,""target_maturity_phase"":""query"",""target_maturity_trial"":15},""future_omission_any_next_5_experimental_trials"":{""available_at_support_complete"":false,""target_maturity_phase"":""query"",""target_maturity_trial"":15},""future_slow_any_next_3_valid_go_trials"":{""available_at_support_complete"":false,""target_maturity_phase"":""query"",""target_maturity_trial"":13},""future_very_slow_any_next_5_valid_go_trials"":{""available_at_support_complete"":false,""target_maturity_phase"":""query"",""target_maturity_trial"":16},""next_log_rt_support_robust_z"":{""available_at_support_complete"":false,""target_maturity_phase"":""query"",""target_maturity_trial"":11},""next_valid_go_log_rt"":{""available_at_support_complete"":false,""target_maturity_phase"":""query"",""target_maturity_trial"":11},""next_valid_go_rt_seconds"":{""available_at_support_complete"":false,""target_maturity_phase"":""query"",""target_maturity_trial"":11}}",16,query,0,[],4,0,0,0,e0265a7d5c08f78c252338c0dae3379748a6232faf49bfadd2d3d01335cda291
