schema_version,schema,task_name,task_version,session_id,participant_id,global_trial_index,block_index,block_trial_index,block_name,phase,study_segment,regime,is_practice,sequence_id,master_seed,block_seed,digit,condition,is_no_go,expected_action,stimulus_marker_label,planned_stimulus_seconds,planned_post_digit_fixation_seconds,planned_response_window_seconds,planned_jitter_seconds,planned_soi_seconds,cue_opportunity,cue_opportunity_index,cue_randomization_block_index,cue_assignment,planned_break_after_trial,planned_break_minimum_seconds,planned_break_maximum_seconds,planned_onset_offset_seconds,stimulus_onset_monotonic,stimulus_onset_lsl,stimulus_offset_monotonic,stimulus_offset_lsl,scheduled_response_window_close_monotonic,scheduled_response_window_close_lsl,response_window_close_monotonic,response_window_close_lsl,response_window_close_overshoot_seconds,scheduled_next_trial_onset_monotonic,actual_next_trial_onset_monotonic,actual_next_trial_onset_lsl,next_trial_onset_monotonic,actual_stimulus_seconds,actual_response_window_seconds,actual_trial_duration_seconds,actual_trial_duration_lsl_seconds,timing_semantics_version,timing_finalization_status,display_timing_status,expected_visual_onset_uncertainty_ms,all_key_event_ids,first_response_key,first_response_timestamp_monotonic,first_response_timestamp_lsl,first_valid_response_key,first_valid_response_timestamp_monotonic,reaction_time_seconds,response_count,response_key_count,primary_outcome,correct,commission_error,omission_error,premature_response,too_fast_response,multiple_response,wrong_key_response,late_response,aborted,invalid,time_on_task_seconds,time_since_break_seconds,previous_trial_index,trials_since_no_go,probe_id,probe_proximity,applied_task_actions,eeg_quality_join_key,presented
3,eegle.dynamic_sart.trial.v4,dynamic_sart,1.3,run-20260820T161425,tested,-1,-1,1,practice_1,practice,,standard,1,237942804d5e24dc51a11ff9281243bab0f3fb0afd493a5da2f3cce232c141d1,6814534644143003232,11553147695168021572,4,go,0,press,dynamic_sart_stimulus_onset__v=1__trial=-1__condition=go__digit=4__block=-1__phase=practice__practice=1,0.25,1.35,1.6,0.0,1.6,0,,,,0,,,,1399169.203,1399169.391748,1399169.453,1399169.6508629,1399170.803,1399170.991748,1399170.812,1399171.0111978,0.008999999845400453,1399170.803,,,,0.25,1.6089999999385327,,,2,awaiting_next_stimulus_flip,measured,4.148969997186214,"[""key-00000002""]",space,1399170.3626531,1399170.5514722,space,1399170.3626531,1.1596530999522656,1,1,correct_go,1,0,0,0,0,0,0,0,0,0,2.375,,,,,,[],dynamic_sart:-1,1
3,eegle.dynamic_sart.trial.v4,dynamic_sart,1.3,run-20260820T161425,tested,-2,-1,2,practice_1,practice,,standard,1,237942804d5e24dc51a11ff9281243bab0f3fb0afd493a5da2f3cce232c141d1,6814534644143003232,11553147695168021572,5,go,0,press,dynamic_sart_stimulus_onset__v=1__trial=-2__condition=go__digit=5__block=-1__phase=practice__practice=1,0.25,1.35,1.6,0.0,1.6,0,,,,0,,,,1399171.218,1399171.411488,1399171.468,1399171.6650587,1399172.8180000002,1399173.0114880002,1399172.812,1399173.0093496,0.0,1399172.8180000002,,,,0.25,1.5939999998081475,,,2,awaiting_next_stimulus_flip,measured,4.148969997186214,"[""key-00000003""]",space,1399171.6422882,1399171.8311073002,space,1399171.6422882,0.42428819998167455,1,1,correct_go,1,0,0,0,0,0,0,0,0,0,4.390000000130385,,,,,,[],dynamic_sart:-2,1
3,eegle.dynamic_sart.trial.v4,dynamic_sart,1.3,run-20260820T161425,tested,-3,-1,3,practice_1,practice,,standard,1,237942804d5e24dc51a11ff9281243bab0f3fb0afd493a5da2f3cce232c141d1,6814534644143003232,11553147695168021572,6,go,0,press,dynamic_sart_stimulus_onset__v=1__trial=-3__condition=go__digit=6__block=-1__phase=practice__practice=1,0.25,1.35,1.6,0.0,1.6,0,,,,0,,,,1399173.218,1399173.4092414,1399173.468,1399173.6655233,1399174.8180000002,1399175.0092414,1399174.812,1399175.0093661,0.0,1399174.8180000002,,,,0.25,1.5939999998081475,,,2,awaiting_next_stimulus_flip,measured,4.148969997186214,"[""key-00000004""]",space,1399173.6470175,1399173.8358366,space,1399173.6470175,0.42901749978773296,1,1,correct_go,1,0,0,0,0,0,0,0,0,0,6.390000000130385,,,,,,[],dynamic_sart:-3,1
3,eegle.dynamic_sart.trial.v4,dynamic_sart,1.3,run-20260820T161425,tested,-4,-1,4,practice_1,practice,,standard,1,237942804d5e24dc51a11ff9281243bab0f3fb0afd493a5da2f3cce232c141d1,6814534644143003232,11553147695168021572,7,go,0,press,dynamic_sart_stimulus_onset__v=1__trial=-4__condition=go__digit=7__block=-1__phase=practice__practice=1,0.25,1.35,1.6,0.0,1.6,0,,,,0,,,,1399175.218,1399175.406548,1399175.468,1399175.6648574,1399176.8180000002,1399177.006548,1399176.812,1399177.0101568,0.0,1399176.8180000002,,,,0.25,1.5939999998081475,,,2,awaiting_next_stimulus_flip,measured,4.148969997186214,"[""key-00000005""]",space,1399175.6740958,1399175.8629149,space,1399175.6740958,0.4560957998037338,1,1,correct_go,1,0,0,0,0,0,0,0,0,0,8.390000000130385,,,,,,[],dynamic_sart:-4,1
3,eegle.dynamic_sart.trial.v4,dynamic_sart,1.3,run-20260820T161425,tested,-5,-1,5,practice_1,practice,,standard,1,237942804d5e24dc51a11ff9281243bab0f3fb0afd493a5da2f3cce232c141d1,6814534644143003232,11553147695168021572,2,go,0,press,dynamic_sart_stimulus_onset__v=1__trial=-5__condition=go__digit=2__block=-1__phase=practice__practice=1,0.25,1.35,1.6,0.0,1.6,0,,,,0,,,,1399177.218,1399177.4151201,1399177.468,1399177.6648502,1399178.8180000002,1399179.0151201,1399178.812,1399179.0093386,0.0,1399178.8180000002,,,,0.25,1.5939999998081475,,,2,awaiting_next_stimulus_flip,measured,4.148969997186214,"[""key-00000006""]",space,1399177.6568836,1399177.8457027,space,1399177.6568836,0.4388835998252034,1,1,correct_go,1,0,0,0,0,0,0,0,0,0,10.390000000130385,,,,,,[],dynamic_sart:-5,1
3,eegle.dynamic_sart.trial.v4,dynamic_sart,1.3,run-20260820T161425,tested,-6,-1,6,practice_1,practice,,standard,1,237942804d5e24dc51a11ff9281243bab0f3fb0afd493a5da2f3cce232c141d1,6814534644143003232,11553147695168021572,9,go,0,press,dynamic_sart_stimulus_onset__v=1__trial=-6__condition=go__digit=9__block=-1__phase=practice__practice=1,0.25,1.35,1.6,0.0,1.6,0,,,,0,,,,1399179.218,1399179.4149126,1399179.468,1399179.6649347,1399180.8180000002,1399181.0149126002,1399180.812,1399181.0098091,0.0,1399180.8180000002,,,,0.25,1.5939999998081475,,,2,awaiting_next_stimulus_flip,measured,4.148969997186214,"[""key-00000007""]",space,1399179.5943955,1399179.7832146,space,1399179.5943955,0.37639549979940057,1,1,correct_go,1,0,0,0,0,0,0,0,0,0,12.390000000130385,,,,,,[],dynamic_sart:-6,1
3,eegle.dynamic_sart.trial.v4,dynamic_sart,1.3,run-20260820T161425,tested,-7,-1,7,practice_1,practice,,standard,1,237942804d5e24dc51a11ff9281243bab0f3fb0afd493a5da2f3cce232c141d1,6814534644143003232,11553147695168021572,0,go,0,press,dynamic_sart_stimulus_onset__v=1__trial=-7__condition=go__digit=0__block=-1__phase=practice__practice=1,0.25,1.35,1.6,0.0,1.6,0,,,,0,,,,1399181.218,1399181.4090755,1399181.468,1399181.6650541,1399182.8180000002,1399183.0090755,1399182.812,1399183.0065717,0.0,1399182.8180000002,,,,0.25,1.5939999998081475,,,2,awaiting_next_stimulus_flip,measured,4.148969997186214,"[""key-00000008""]",space,1399181.4560957,1399181.6449148,space,1399181.4560957,0.23809569980949163,1,1,correct_go,1,0,0,0,0,0,0,0,0,0,14.390000000130385,,,,,,[],dynamic_sart:-7,1
3,eegle.dynamic_sart.trial.v4,dynamic_sart,1.3,run-20260820T161425,tested,-8,-1,8,practice_1,practice,,standard,1,237942804d5e24dc51a11ff9281243bab0f3fb0afd493a5da2f3cce232c141d1,6814534644143003232,11553147695168021572,1,go,0,press,dynamic_sart_stimulus_onset__v=1__trial=-8__condition=go__digit=1__block=-1__phase=practice__practice=1,0.25,1.35,1.6,0.0,1.6,0,,,,0,,,,1399183.203,1399183.3982558,1399183.453,1399183.6506709,1399184.803,1399184.9982558,1399184.812,1399185.0087879,0.008999999845400453,1399184.803,,,,0.25,1.6089999999385327,,,2,awaiting_next_stimulus_flip,measured,4.148969997186214,"[""key-00000009""]",space,1399183.5039273,1399183.6927464001,space,1399183.5039273,0.3009273000061512,1,1,correct_go,1,0,0,0,0,0,0,0,0,0,16.375,,,,,,[],dynamic_sart:-8,1
3,eegle.dynamic_sart.trial.v4,dynamic_sart,1.3,run-20260820T161425,tested,-9,-1,9,practice_1,practice,,standard,1,237942804d5e24dc51a11ff9281243bab0f3fb0afd493a5da2f3cce232c141d1,6814534644143003232,11553147695168021572,8,go,0,press,dynamic_sart_stimulus_onset__v=1__trial=-9__condition=go__digit=8__block=-1__phase=practice__practice=1,0.25,1.35,1.6,0.0,1.6,0,,,,0,,,,1399185.203,1399185.399083,1399185.453,1399185.6484241,1399186.803,1399186.999083,1399186.812,1399187.0089318,0.008999999845400453,1399186.803,,,,0.25,1.6089999999385327,,,2,awaiting_next_stimulus_flip,measured,4.148969997186214,"[""key-00000010""]",space,1399185.4887617,1399185.6775808001,space,1399185.4887617,0.2857617000117898,1,1,correct_go,1,0,0,0,0,0,0,0,0,0,18.375,,,,,,[],dynamic_sart:-9,1
3,eegle.dynamic_sart.trial.v4,dynamic_sart,1.3,run-20260820T161425,tested,-10,-1,10,practice_1,practice,,standard,1,237942804d5e24dc51a11ff9281243bab0f3fb0afd493a5da2f3cce232c141d1,6814534644143003232,11553147695168021572,5,go,0,press,dynamic_sart_stimulus_onset__v=1__trial=-10__condition=go__digit=5__block=-1__phase=practice__practice=1,0.25,1.35,1.6,0.0,1.6,0,,,,0,,,,1399187.203,1399187.3985339,1399187.453,1399187.6481813,1399188.803,1399188.9985339001,1399188.812,1399189.0094862,0.008999999845400453,1399188.803,,,,0.25,1.6089999999385327,,,2,awaiting_next_stimulus_flip,measured,4.148969997186214,"[""key-00000011""]",space,1399187.4707927,1399187.6596118002,space,1399187.4707927,0.2677927000913769,1,1,correct_go,1,0,0,0,0,0,0,0,0,0,20.375,,,,,,[],dynamic_sart:-10,1
