marker_label,lsl_timestamp,local_received_lsl_timestamp
dynamic_sart_task_start,1399167.017758500,1399167.017984300
dynamic_sart_practice_start,1399169.360852700,1399169.361047200
dynamic_sart_stimulus_onset__v=1__trial=-1__condition=go__digit=4__block=-1__phase=practice__practice=1,1399169.391748000,1399169.392219000
dynamic_sart_stimulus_offset__v=1__trial=-1__condition=go__digit=4__block=-1__phase=practice__practice=1,1399169.650862900,1399169.651198200
dynamic_sart_response_window_close__v=1__trial=-1__condition=go__digit=4__block=-1__phase=practice__practice=1,1399171.011197800,1399171.011529200
dynamic_sart_trial_complete__v=1__trial=-1__condition=go__digit=4__block=-1__phase=practice__practice=1,1399171.011197800,1399171.017809000
dynamic_sart_stimulus_onset__v=1__trial=-2__condition=go__digit=5__block=-1__phase=practice__practice=1,1399171.411488000,1399171.412120500
dynamic_sart_stimulus_offset__v=1__trial=-2__condition=go__digit=5__block=-1__phase=practice__practice=1,1399171.665058700,1399171.665446800
dynamic_sart_response_window_close__v=1__trial=-2__condition=go__digit=5__block=-1__phase=practice__practice=1,1399173.009349600,1399173.009652300
dynamic_sart_trial_complete__v=1__trial=-2__condition=go__digit=5__block=-1__phase=practice__practice=1,1399173.009349600,1399173.015450500
dynamic_sart_stimulus_onset__v=1__trial=-3__condition=go__digit=6__block=-1__phase=practice__practice=1,1399173.409241400,1399173.409584800
dynamic_sart_stimulus_offset__v=1__trial=-3__condition=go__digit=6__block=-1__phase=practice__practice=1,1399173.665523300,1399173.665887200
dynamic_sart_response_window_close__v=1__trial=-3__condition=go__digit=6__block=-1__phase=practice__practice=1,1399175.009366100,1399175.009923100
dynamic_sart_trial_complete__v=1__trial=-3__condition=go__digit=6__block=-1__phase=practice__practice=1,1399175.009366100,1399175.015770700
dynamic_sart_stimulus_onset__v=1__trial=-4__condition=go__digit=7__block=-1__phase=practice__practice=1,1399175.406548000,1399175.406801900
dynamic_sart_stimulus_offset__v=1__trial=-4__condition=go__digit=7__block=-1__phase=practice__practice=1,1399175.664857400,1399175.665077200
dynamic_sart_response_window_close__v=1__trial=-4__condition=go__digit=7__block=-1__phase=practice__practice=1,1399177.010156800,1399177.010458100
dynamic_sart_trial_complete__v=1__trial=-4__condition=go__digit=7__block=-1__phase=practice__practice=1,1399177.010156800,1399177.015695700
dynamic_sart_stimulus_onset__v=1__trial=-5__condition=go__digit=2__block=-1__phase=practice__practice=1,1399177.415120100,1399177.415445100
dynamic_sart_stimulus_offset__v=1__trial=-5__condition=go__digit=2__block=-1__phase=practice__practice=1,1399177.664850200,1399177.665199500
dynamic_sart_response_window_close__v=1__trial=-5__condition=go__digit=2__block=-1__phase=practice__practice=1,1399179.009338600,1399179.009581700
dynamic_sart_trial_complete__v=1__trial=-5__condition=go__digit=2__block=-1__phase=practice__practice=1,1399179.009338600,1399179.015458200
dynamic_sart_stimulus_onset__v=1__trial=-6__condition=go__digit=9__block=-1__phase=practice__practice=1,1399179.414912600,1399179.415250500
dynamic_sart_stimulus_offset__v=1__trial=-6__condition=go__digit=9__block=-1__phase=practice__practice=1,1399179.664934700,1399179.665414000
dynamic_sart_response_window_close__v=1__trial=-6__condition=go__digit=9__block=-1__phase=practice__practice=1,1399181.009809100,1399181.010106900
dynamic_sart_trial_complete__v=1__trial=-6__condition=go__digit=9__block=-1__phase=practice__practice=1,1399181.009809100,1399181.016221700
dynamic_sart_stimulus_onset__v=1__trial=-7__condition=go__digit=0__block=-1__phase=practice__practice=1,1399181.409075500,1399181.409403300
dynamic_sart_stimulus_offset__v=1__trial=-7__condition=go__digit=0__block=-1__phase=practice__practice=1,1399181.665054100,1399181.665633800
dynamic_sart_response_window_close__v=1__trial=-7__condition=go__digit=0__block=-1__phase=practice__practice=1,1399183.006571700,1399183.006765900
dynamic_sart_trial_complete__v=1__trial=-7__condition=go__digit=0__block=-1__phase=practice__practice=1,1399183.006571700,1399183.012874800
dynamic_sart_stimulus_onset__v=1__trial=-8__condition=go__digit=1__block=-1__phase=practice__practice=1,1399183.398255800,1399183.398657500
dynamic_sart_stimulus_offset__v=1__trial=-8__condition=go__digit=1__block=-1__phase=practice__practice=1,1399183.650670900,1399183.651070300
dynamic_sart_response_window_close__v=1__trial=-8__condition=go__digit=1__block=-1__phase=practice__practice=1,1399185.008787900,1399185.009298000
dynamic_sart_trial_complete__v=1__trial=-8__condition=go__digit=1__block=-1__phase=practice__practice=1,1399185.008787900,1399185.015261400
dynamic_sart_stimulus_onset__v=1__trial=-9__condition=go__digit=8__block=-1__phase=practice__practice=1,1399185.399083000,1399185.399395500
dynamic_sart_stimulus_offset__v=1__trial=-9__condition=go__digit=8__block=-1__phase=practice__practice=1,1399185.648424100,1399185.648647300
dynamic_sart_response_window_close__v=1__trial=-9__condition=go__digit=8__block=-1__phase=practice__practice=1,1399187.008931800,1399187.009216600
dynamic_sart_trial_complete__v=1__trial=-9__condition=go__digit=8__block=-1__phase=practice__practice=1,1399187.008931800,1399187.014835800
dynamic_sart_stimulus_onset__v=1__trial=-10__condition=go__digit=5__block=-1__phase=practice__practice=1,1399187.398533900,1399187.398940200
dynamic_sart_stimulus_offset__v=1__trial=-10__condition=go__digit=5__block=-1__phase=practice__practice=1,1399187.648181300,1399187.648535700
dynamic_sart_response_window_close__v=1__trial=-10__condition=go__digit=5__block=-1__phase=practice__practice=1,1399189.009486200,1399189.009798800
dynamic_sart_trial_complete__v=1__trial=-10__condition=go__digit=5__block=-1__phase=practice__practice=1,1399189.009486200,1399189.017441600
dynamic_sart_stimulus_onset__v=1__trial=-11__condition=go__digit=4__block=-1__phase=practice__practice=1,1399189.415142800,1399189.415343600
dynamic_sart_stimulus_offset__v=1__trial=-11__condition=go__digit=4__block=-1__phase=practice__practice=1,1399189.665292800,1399189.665680200
dynamic_sart_response_window_close__v=1__trial=-11__condition=go__digit=4__block=-1__phase=practice__practice=1,1399191.006369600,1399191.006695700
dynamic_sart_trial_complete__v=1__trial=-11__condition=go__digit=4__block=-1__phase=practice__practice=1,1399191.006369600,1399191.014960300
dynamic_sart_stimulus_onset__v=1__trial=-12__condition=go__digit=0__block=-1__phase=practice__practice=1,1399191.389890300,1399191.390268200
dynamic_sart_stimulus_offset__v=1__trial=-12__condition=go__digit=0__block=-1__phase=practice__practice=1,1399191.650792700,1399191.651054800
dynamic_sart_response_window_close__v=1__trial=-12__condition=go__digit=0__block=-1__phase=practice__practice=1,1399193.009471200,1399193.009679000
