global_trial_index,phase,is_practice,stimulus_onset_monotonic,stimulus_onset_lsl,scheduled_response_window_close_monotonic,scheduled_response_window_close_lsl,response_window_close_monotonic,response_window_close_lsl,response_window_close_overshoot_seconds,scheduled_next_trial_onset_monotonic,actual_next_trial_onset_monotonic,actual_next_trial_onset_lsl,actual_trial_duration_seconds,actual_trial_duration_lsl_seconds,next_onset_schedule_drift_seconds,planned_break_after_trial,probe_after,timing_semantics_version,timing_finalization_status
-1,practice,1,1399169.203,1399169.391748,1399170.803,1399170.991748,1399170.812,1399171.0111978,0.008999999845400453,1399170.803,1399171.218,1399171.411488,2.015000000130385,2.019740000134334,0.4150000000372529,0,,2,measured_from_next_stimulus_flip
-2,practice,1,1399171.218,1399171.411488,1399172.8180000002,1399173.0114880002,1399172.812,1399173.0093496,0.0,1399172.8180000002,1399173.218,1399173.4092414,2.0,1.9977533998899162,0.39999999990686774,0,,2,measured_from_next_stimulus_flip
-3,practice,1,1399173.218,1399173.4092414,1399174.8180000002,1399175.0092414,1399174.812,1399175.0093661,0.0,1399174.8180000002,1399175.218,1399175.406548,2.0,1.9973065999802202,0.39999999990686774,0,,2,measured_from_next_stimulus_flip
-4,practice,1,1399175.218,1399175.406548,1399176.8180000002,1399177.006548,1399176.812,1399177.0101568,0.0,1399176.8180000002,1399177.218,1399177.4151201,2.0,2.008572099963203,0.39999999990686774,0,,2,measured_from_next_stimulus_flip
-5,practice,1,1399177.218,1399177.4151201,1399178.8180000002,1399179.0151201,1399178.812,1399179.0093386,0.0,1399178.8180000002,1399179.218,1399179.4149126,2.0,1.9997925001662225,0.39999999990686774,0,,2,measured_from_next_stimulus_flip
-6,practice,1,1399179.218,1399179.4149126,1399180.8180000002,1399181.0149126002,1399180.812,1399181.0098091,0.0,1399180.8180000002,1399181.218,1399181.4090755,2.0,1.9941628999076784,0.39999999990686774,0,,2,measured_from_next_stimulus_flip
-7,practice,1,1399181.218,1399181.4090755,1399182.8180000002,1399183.0090755,1399182.812,1399183.0065717,0.0,1399182.8180000002,1399183.203,1399183.3982558,1.9849999998696148,1.9891802999190986,0.3849999997764826,0,,2,measured_from_next_stimulus_flip
-8,practice,1,1399183.203,1399183.3982558,1399184.803,1399184.9982558,1399184.812,1399185.0087879,0.008999999845400453,1399184.803,1399185.203,1399185.399083,2.0,2.0008272000122815,0.39999999990686774,0,,2,measured_from_next_stimulus_flip
-9,practice,1,1399185.203,1399185.399083,1399186.803,1399186.999083,1399186.812,1399187.0089318,0.008999999845400453,1399186.803,1399187.203,1399187.3985339,2.0,1.9994509001262486,0.39999999990686774,0,,2,measured_from_next_stimulus_flip
-10,practice,1,1399187.203,1399187.3985339,1399188.803,1399188.9985339001,1399188.812,1399189.0094862,0.008999999845400453,1399188.803,1399189.218,1399189.4151428,2.015000000130385,2.016608899924904,0.4150000000372529,0,,2,measured_from_next_stimulus_flip
-11,practice,1,1399189.218,1399189.4151428,1399190.8180000002,1399191.0151428,1399190.812,1399191.0063696,0.0,1399190.8180000002,1399191.203,1399191.3898903,1.9849999998696148,1.9747475001495332,0.3849999997764826,0,,2,measured_from_next_stimulus_flip
-12,practice,1,1399191.203,1399191.3898903,1399192.803,1399192.9898903002,1399192.812,1399193.0094712,0.008999999845400453,1399192.803,1399193.203,1399193.3902005,2.0,2.0003101998008788,0.39999999990686774,0,,2,measured_from_next_stimulus_flip
-13,practice,1,1399193.203,1399193.3902005,1399194.803,1399194.9902005,1399194.812,1399195.0092509,0.008999999845400453,1399194.803,1399195.218,1399195.4099414,2.015000000130385,2.0197409000247717,0.4150000000372529,0,,2,measured_from_next_stimulus_flip
-14,practice,1,1399195.218,1399195.4099414,1399196.8180000002,1399197.0099414,1399196.812,1399197.0103344,0.0,1399196.8180000002,1399197.218,1399197.4117663,2.0,2.0018249000422657,0.39999999990686774,0,,2,measured_from_next_stimulus_flip
-15,practice,1,1399197.218,1399197.4117663,1399198.8180000002,1399199.0117663,1399198.812,1399199.0068255,0.0,1399198.8180000002,1399199.203,1399199.3912644,1.9849999998696148,1.979498100001365,0.3849999997764826,0,,2,measured_from_next_stimulus_flip
-16,practice,1,1399199.203,1399199.3912644,1399200.803,1399200.9912644,1399200.812,1399201.0111954,0.008999999845400453,1399200.803,1399201.234,1399201.4201185,2.030999999959022,2.028854100033641,0.43099999986588955,0,,2,measured_from_next_stimulus_flip
-17,practice,1,1399201.234,1399201.4201185,1399202.834,1399203.0201185,1399202.828,1399203.0233784,0.0,1399202.834,1399203.218,1399203.41023,1.9840000001713634,1.9901115000247955,0.3840000000782311,0,,2,measured_from_next_stimulus_flip
-18,practice,1,1399203.218,1399203.41023,1399204.8180000002,1399205.0102300001,1399204.812,1399205.0099193,0.0,1399204.8180000002,1399205.203,1399205.3903798,1.9849999998696148,1.9801497999578714,0.3849999997764826,0,,2,measured_from_next_stimulus_flip
-19,practice,1,1399205.203,1399205.3903798,1399206.803,1399206.9903798,1399206.812,1399207.0102298,0.008999999845400453,1399206.803,1399207.218,1399207.4099645,2.015000000130385,2.019584699999541,0.4150000000372529,0,,2,measured_from_next_stimulus_flip
-20,practice,1,1399207.218,1399207.4099645,1399208.8180000002,1399209.0099645,1399208.812,1399209.0094134,0.0,1399208.8180000002,1399209.218,1399209.4092894,2.0,1.999324900098145,0.39999999990686774,0,,2,measured_from_next_stimulus_flip
-21,practice,1,1399209.218,1399209.4092894,1399210.8180000002,1399211.0092894002,1399210.812,1399211.0063274,0.0,1399210.8180000002,1399211.203,1399211.3902657,1.9849999998696148,1.9809762998484075,0.3849999997764826,0,,2,measured_from_next_stimulus_flip
-22,practice,1,1399211.203,1399211.3902657,1399212.803,1399212.9902657,1399212.812,1399213.0099937,0.008999999845400453,1399212.803,1399213.218,1399213.4175227,2.015000000130385,2.0272570000961423,0.4150000000372529,0,,2,measured_from_next_stimulus_flip
-23,practice,1,1399213.218,1399213.4175227,1399214.8180000002,1399215.0175227001,1399214.812,1399215.0070785,0.0,1399214.8180000002,1399215.203,1399215.390532,1.9849999998696148,1.9730092999525368,0.3849999997764826,0,,2,measured_from_next_stimulus_flip
-24,practice,1,1399215.203,1399215.390532,1399216.803,1399216.990532,1399216.812,1399217.0094539,0.008999999845400453,1399216.803,1399217.218,1399217.4149587,2.015000000130385,2.0244267000816762,0.4150000000372529,0,,2,measured_from_next_stimulus_flip
-25,practice,1,1399217.218,1399217.4149587,1399218.8180000002,1399219.0149587002,1399218.812,1399219.0064011,0.0,1399218.8180000002,1399219.203,1399219.3910869,1.9849999998696148,1.9761281998362392,0.3849999997764826,0,,2,measured_from_next_stimulus_flip
-26,practice,1,1399219.203,1399219.3910869,1399220.803,1399220.9910869,1399220.812,1399221.0093858,0.008999999845400453,1399220.803,1399221.218,1399221.4149119,2.015000000130385,2.023825000040233,0.4150000000372529,0,,2,measured_from_next_stimulus_flip
-27,practice,1,1399221.218,1399221.4149119,1399222.8180000002,1399223.0149119,1399222.812,1399223.009971,0.0,1399222.8180000002,1399223.234,1399223.4199297,2.0159999998286366,2.0050178000237793,0.4159999997355044,0,,2,measured_from_next_stimulus_flip
-28,practice,1,1399223.234,1399223.4199297,1399224.834,1399225.0199297,1399224.828,1399225.0231435,0.0,1399224.834,1399225.218,1399225.410473,1.9840000001713634,1.9905433000531048,0.3840000000782311,0,,2,measured_from_next_stimulus_flip
-29,practice,1,1399225.218,1399225.410473,1399226.8180000002,1399227.0104730001,1399226.812,1399227.0088669,0.0,1399226.8180000002,1399227.218,1399227.4096409,2.0,1.9991679000668228,0.39999999990686774,0,,2,measured_from_next_stimulus_flip
-30,practice,1,1399227.218,1399227.4096409,1399228.8180000002,1399229.0096409002,1399228.812,1399229.0094825,0.0,1399228.8180000002,1399234.734,1399234.9263408,7.515999999828637,7.516699899919331,5.915999999735504,0,,2,measured_from_next_stimulus_flip
-31,practice,1,1399234.734,1399234.9263408,1399236.334,1399236.5263408,1399236.328,1399236.5244104,0.0,1399236.334,1399236.734,1399236.9260816,2.0,1.9997407998889685,0.39999999990686774,0,,2,measured_from_next_stimulus_flip
-32,practice,1,1399236.734,1399236.9260816,1399238.334,1399238.5260816,1399238.328,1399238.5262689,0.0,1399238.334,1399238.718,1399238.9149291,1.9840000001713634,1.988847500178963,0.3840000000782311,0,,2,measured_from_next_stimulus_flip
-33,practice,1,1399238.718,1399238.9149291,1399240.3180000002,1399240.5149291002,1399240.312,1399240.5066307,0.0,1399240.3180000002,1399240.703,1399240.8981551,1.9849999998696148,1.983225999865681,0.3849999997764826,0,,2,measured_from_next_stimulus_flip
-34,practice,1,1399240.703,1399240.8981551,1399242.303,1399242.4981551,1399242.312,1399242.5064896,0.008999999845400453,1399242.303,1399242.703,1399242.8937367,2.0,1.9955816001165658,0.39999999990686774,0,,2,measured_from_next_stimulus_flip
-35,practice,1,1399242.703,1399242.8937367,1399244.303,1399244.4937367002,1399244.312,1399244.5070178,0.008999999845400453,1399244.303,1399244.703,1399244.8982075,2.0,2.004470800049603,0.39999999990686774,0,,2,measured_from_next_stimulus_flip
-36,practice,1,1399244.703,1399244.8982075,1399246.303,1399246.4982075002,1399246.312,1399246.5067701,0.008999999845400453,1399246.303,1399246.703,1399246.8980784,2.0,1.9998708998318762,0.39999999990686774,0,,2,measured_from_next_stimulus_flip
-37,practice,1,1399246.703,1399246.8980784,1399248.303,1399248.4980784,1399248.312,1399248.5063068,0.008999999845400453,1399248.303,1399248.703,1399248.8899997,2.0,1.9919213000684977,0.39999999990686774,0,,2,measured_from_next_stimulus_flip
-38,practice,1,1399248.703,1399248.8899997,1399250.303,1399250.4899997,1399250.312,1399250.506537,0.008999999845400453,1399250.303,1399250.703,1399250.8983787,2.0,2.0083790000062436,0.39999999990686774,0,,2,measured_from_next_stimulus_flip
-39,practice,1,1399250.703,1399250.8983787,1399252.303,1399252.4983787,1399252.312,1399252.5065433,0.008999999845400453,1399252.303,1399252.734,1399252.9200343,2.030999999959022,2.021655600052327,0.43099999986588955,0,,2,measured_from_next_stimulus_flip
-40,practice,1,1399252.734,1399252.9200343,1399254.334,1399254.5200343002,1399254.328,1399254.5280743,0.0,1399254.334,1399254.734,1399254.930322,2.0,2.010287699988112,0.39999999990686774,0,,2,measured_from_next_stimulus_flip
-41,practice,1,1399254.734,1399254.930322,1399256.334,1399256.5303220002,1399256.328,1399256.5279648,0.0,1399256.334,1399256.734,1399256.9320348,2.0,2.001712800003588,0.39999999990686774,0,,2,measured_from_next_stimulus_flip
-42,practice,1,1399256.734,1399256.9320348,1399258.334,1399258.5320348002,1399258.328,1399258.5243277,0.0,1399258.334,1399258.718,1399258.907244,1.9840000001713634,1.9752091998234391,0.3840000000782311,0,,2,measured_from_next_stimulus_flip
-43,practice,1,1399258.718,1399258.907244,1399260.3180000002,1399260.507244,1399260.312,1399260.506972,0.0,1399260.3180000002,1399260.703,1399260.8980466,1.9849999998696148,1.9908026000484824,0.3849999997764826,0,,2,measured_from_next_stimulus_flip
-44,practice,1,1399260.703,1399260.8980466,1399262.303,1399262.4980466,1399262.312,1399262.5069127,0.008999999845400453,1399262.303,1399262.703,1399262.8905251,2.0,1.9924785001203418,0.39999999990686774,0,,2,measured_from_next_stimulus_flip
-45,practice,1,1399262.703,1399262.8905251,1399264.303,1399264.4905251001,1399264.312,1399264.5074094,0.008999999845400453,1399264.303,1399264.703,1399264.8984547,2.0,2.0079295998439193,0.39999999990686774,0,,2,measured_from_next_stimulus_flip
-46,practice,1,1399264.703,1399264.8984547,1399266.303,1399266.4984547,1399266.312,1399266.5067973,0.008999999845400453,1399266.303,1399266.718,1399266.9070057,2.015000000130385,2.0085510001517832,0.4150000000372529,0,,2,measured_from_next_stimulus_flip
-47,practice,1,1399266.718,1399266.9070057,1399268.3180000002,1399268.5070057001,1399268.312,1399268.5069691,0.0,1399268.3180000002,1399268.703,1399268.8986018,1.9849999998696148,1.9915960999205709,0.3849999997764826,0,,2,measured_from_next_stimulus_flip
-48,practice,1,1399268.703,1399268.8986018,1399270.303,1399270.4986018,1399270.312,1399270.5069021,0.008999999845400453,1399270.303,1399270.703,1399270.8948918,2.0,1.9962899999227375,0.39999999990686774,0,,2,measured_from_next_stimulus_flip
-49,practice,1,1399270.703,1399270.8948918,1399272.303,1399272.4948918,1399272.312,1399272.5065355,0.008999999845400453,1399272.303,1399272.703,1399272.8936032,2.0,1.9987114001996815,0.39999999990686774,0,,2,measured_from_next_stimulus_flip
-50,practice,1,1399272.703,1399272.8936032,1399274.303,1399274.4936032002,1399274.312,1399274.5063306,0.008999999845400453,1399274.303,1399274.703,1399274.8980179,2.0,2.004414699971676,0.39999999990686774,0,,2,measured_from_next_stimulus_flip
-51,practice,1,1399274.703,1399274.8980179,1399276.303,1399276.4980179002,1399276.312,1399276.5075334,0.008999999845400453,1399276.303,1399276.718,1399276.9069436,2.015000000130385,2.00892569986172,0.4150000000372529,0,,2,measured_from_next_stimulus_flip
