trial,label,event_type,timestamp,value,metadata
,dynamic_sart_task_start,SYSTEM,1296405.64,,"{""lsl_timestamp"": 1296405.8312713, ""marker_emit_attempted"": true, ""marker_stream_name"": ""EEGleMarkers"", ""marker_stream_source_id"": ""eegle-markers-dynamic_sart-run-20260819T114145-78bb55cd8bbb"", ""marker_stream_type"": ""Markers"", ""mode"": ""psychopy"", ""task"": ""dynamic_sart""}"
,dynamic_sart_key_event,EVENT,1296418.3706949,space,"{""assigned_block"": null, ""assigned_phase"": null, ""event_id"": ""key-00000001"", ""is_escape_key"": false, ""is_late"": false, ""is_premature"": false, ""is_response_key"": true, ""keyboard_time"": 12.745699099963531, ""schema"": ""eegle.dynamic_sart.key_event.v1"", ""task_state"": ""INSTRUCTIONS"", ""timestamp_lsl_if_available"": 1296418.5606586}"
,dynamic_sart_practice_start,SYSTEM,1296418.375,,"{""lsl_timestamp"": 1296418.571442, ""marker_emit_attempted"": true, ""marker_stream_name"": ""EEGleMarkers"", ""marker_stream_source_id"": ""eegle-markers-dynamic_sart-run-20260819T114145-78bb55cd8bbb"", ""marker_stream_type"": ""Markers"", ""task"": ""dynamic_sart""}"
-1,dynamic_sart_stimulus_onset__v=1__trial=-1__condition=go__digit=6__block=-1__phase=practice__practice=1,EVENT,1296418.453,,"{""block"": -1, ""condition"": ""go"", ""cue_assignment"": null, ""cue_opportunity"": false, ""cue_opportunity_index"": null, ""cue_randomization_block_index"": null, ""digit"": 6, ""expected_visual_onset_lsl_timestamp"": 1296418.6443895, ""expected_visual_onset_monotonic"": 1296418.453, ""expected_visual_onset_uncertainty_ms"": 8.418404997792095, ""fixed_display_latency_ms"": 0.0, ""flip_lsl_timestamp"": 1296418.6443895, ""flip_monotonic"": 1296418.453, ""lsl_timestamp"": 1296418.6443895, ""marker_emit_attempted"": true, ""marker_stream_name"": ""EEGleMarkers"", ""marker_stream_source_id"": ""eegle-markers-dynamic_sart-run-20260819T114145-78bb55cd8bbb"", ""marker_stream_type"": ""Markers"", ""phase"": ""practice"", ""photodiode_verification_enabled"": false, ""practice"": true, ""scheduled_on_flip"": true, ""schema_version"": 1, ""sequence_id"": ""9123147999fcd757dcdc0d76334edfe18078d007b09111a5082c47c8d44b1a74"", ""study_segment"": null, ""task"": ""dynamic_sart"", ""timing_model"": ""psychopy_callOnFlip_plus_fixed_display_latency""}"
-1,dynamic_sart_stimulus_offset__v=1__trial=-1__condition=go__digit=6__block=-1__phase=practice__practice=1,EVENT,1296418.718,,"{""block"": -1, ""condition"": ""go"", ""cue_assignment"": null, ""cue_opportunity"": false, ""cue_opportunity_index"": null, ""cue_randomization_block_index"": null, ""digit"": 6, ""expected_visual_onset_lsl_timestamp"": 1296418.9140264, ""expected_visual_onset_monotonic"": 1296418.718, ""expected_visual_onset_uncertainty_ms"": 8.418404997792095, ""fixed_display_latency_ms"": 0.0, ""flip_lsl_timestamp"": 1296418.9140264, ""flip_monotonic"": 1296418.718, ""lsl_timestamp"": 1296418.9140264, ""marker_emit_attempted"": true, ""marker_stream_name"": ""EEGleMarkers"", ""marker_stream_source_id"": ""eegle-markers-dynamic_sart-run-20260819T114145-78bb55cd8bbb"", ""marker_stream_type"": ""Markers"", ""phase"": ""practice"", ""photodiode_verification_enabled"": false, ""practice"": true, ""scheduled_on_flip"": true, ""schema_version"": 1, ""sequence_id"": ""9123147999fcd757dcdc0d76334edfe18078d007b09111a5082c47c8d44b1a74"", ""study_segment"": null, ""task"": ""dynamic_sart"", ""timing_model"": ""psychopy_callOnFlip_plus_fixed_display_latency""}"
-1,dynamic_sart_response_window_close__v=1__trial=-1__condition=go__digit=6__block=-1__phase=practice__practice=1,EVENT,1296420.062,,"{""block"": -1, ""condition"": ""go"", ""cue_assignment"": null, ""cue_opportunity"": false, ""cue_opportunity_index"": null, ""cue_randomization_block_index"": null, ""digit"": 6, ""lsl_timestamp"": 1296420.2485664, ""marker_emit_attempted"": true, ""marker_stream_name"": ""EEGleMarkers"", ""marker_stream_source_id"": ""eegle-markers-dynamic_sart-run-20260819T114145-78bb55cd8bbb"", ""marker_stream_type"": ""Markers"", ""phase"": ""practice"", ""practice"": true, ""response_window_close_overshoot_seconds"": 0.008999999845400453, ""scheduled_response_window_close_lsl"": 1296420.2443895, ""scheduled_response_window_close_monotonic"": 1296420.053, ""schema_version"": 1, ""sequence_id"": ""9123147999fcd757dcdc0d76334edfe18078d007b09111a5082c47c8d44b1a74"", ""study_segment"": null, ""task"": ""dynamic_sart""}"
-1,dynamic_sart_trial_complete__v=1__trial=-1__condition=go__digit=6__block=-1__phase=practice__practice=1,EVENT,1296420.062,,"{""block"": -1, ""condition"": ""go"", ""correct"": false, ""cue_assignment"": null, ""cue_opportunity"": false, ""cue_opportunity_index"": null, ""cue_randomization_block_index"": null, ""digit"": 6, ""lsl_timestamp"": 1296420.2485664, ""marker_emit_attempted"": true, ""marker_stream_name"": ""EEGleMarkers"", ""marker_stream_source_id"": ""eegle-markers-dynamic_sart-run-20260819T114145-78bb55cd8bbb"", ""marker_stream_type"": ""Markers"", ""phase"": ""practice"", ""practice"": true, ""primary_outcome"": ""omission_error"", ""reaction_time_seconds"": null, ""schema_version"": 1, ""sequence_id"": ""9123147999fcd757dcdc0d76334edfe18078d007b09111a5082c47c8d44b1a74"", ""study_segment"": null, ""task"": ""dynamic_sart""}"
-2,dynamic_sart_stimulus_onset__v=1__trial=-2__condition=go__digit=9__block=-1__phase=practice__practice=1,EVENT,1296420.515,,"{""block"": -1, ""condition"": ""go"", ""cue_assignment"": null, ""cue_opportunity"": false, ""cue_opportunity_index"": null, ""cue_randomization_block_index"": null, ""digit"": 9, ""expected_visual_onset_lsl_timestamp"": 1296420.7025329, ""expected_visual_onset_monotonic"": 1296420.515, ""expected_visual_onset_uncertainty_ms"": 8.418404997792095, ""fixed_display_latency_ms"": 0.0, ""flip_lsl_timestamp"": 1296420.7025329, ""flip_monotonic"": 1296420.515, ""lsl_timestamp"": 1296420.7025329, ""marker_emit_attempted"": true, ""marker_stream_name"": ""EEGleMarkers"", ""marker_stream_source_id"": ""eegle-markers-dynamic_sart-run-20260819T114145-78bb55cd8bbb"", ""marker_stream_type"": ""Markers"", ""phase"": ""practice"", ""photodiode_verification_enabled"": false, ""practice"": true, ""scheduled_on_flip"": true, ""schema_version"": 1, ""sequence_id"": ""9123147999fcd757dcdc0d76334edfe18078d007b09111a5082c47c8d44b1a74"", ""study_segment"": null, ""task"": ""dynamic_sart"", ""timing_model"": ""psychopy_callOnFlip_plus_fixed_display_latency""}"
-2,dynamic_sart_stimulus_offset__v=1__trial=-2__condition=go__digit=9__block=-1__phase=practice__practice=1,EVENT,1296420.781,,"{""block"": -1, ""condition"": ""go"", ""cue_assignment"": null, ""cue_opportunity"": false, ""cue_opportunity_index"": null, ""cue_randomization_block_index"": null, ""digit"": 9, ""expected_visual_onset_lsl_timestamp"": 1296420.9802911, ""expected_visual_onset_monotonic"": 1296420.781, ""expected_visual_onset_uncertainty_ms"": 8.418404997792095, ""fixed_display_latency_ms"": 0.0, ""flip_lsl_timestamp"": 1296420.9802911, ""flip_monotonic"": 1296420.781, ""lsl_timestamp"": 1296420.9802911, ""marker_emit_attempted"": true, ""marker_stream_name"": ""EEGleMarkers"", ""marker_stream_source_id"": ""eegle-markers-dynamic_sart-run-20260819T114145-78bb55cd8bbb"", ""marker_stream_type"": ""Markers"", ""phase"": ""practice"", ""photodiode_verification_enabled"": false, ""practice"": true, ""scheduled_on_flip"": true, ""schema_version"": 1, ""sequence_id"": ""9123147999fcd757dcdc0d76334edfe18078d007b09111a5082c47c8d44b1a74"", ""study_segment"": null, ""task"": ""dynamic_sart"", ""timing_model"": ""psychopy_callOnFlip_plus_fixed_display_latency""}"
-2,dynamic_sart_key_event,EVENT,1296421.1131521,space,"{""assigned_block"": -1, ""assigned_phase"": ""practice"", ""event_id"": ""key-00000002"", ""is_escape_key"": false, ""is_late"": false, ""is_premature"": false, ""is_response_key"": true, ""keyboard_time"": 15.4881563000381, ""schema"": ""eegle.dynamic_sart.key_event.v1"", ""task_state"": ""RESPONSE_WINDOW_MASK"", ""timestamp_lsl_if_available"": 1296421.3031158}"
