marker_label,lsl_timestamp,local_received_lsl_timestamp
dynamic_sart_task_start,1296405.831271300,1296405.831465600
dynamic_sart_practice_start,1296418.571442000,1296418.571602700
dynamic_sart_stimulus_onset__v=1__trial=-1__condition=go__digit=6__block=-1__phase=practice__practice=1,1296418.644389500,1296418.644589900
dynamic_sart_stimulus_offset__v=1__trial=-1__condition=go__digit=6__block=-1__phase=practice__practice=1,1296418.914026400,1296418.914274600
dynamic_sart_response_window_close__v=1__trial=-1__condition=go__digit=6__block=-1__phase=practice__practice=1,1296420.248566400,1296420.248797100
dynamic_sart_trial_complete__v=1__trial=-1__condition=go__digit=6__block=-1__phase=practice__practice=1,1296420.248566400,1296420.257115100
dynamic_sart_stimulus_onset__v=1__trial=-2__condition=go__digit=9__block=-1__phase=practice__practice=1,1296420.702532900,1296420.702876100
dynamic_sart_stimulus_offset__v=1__trial=-2__condition=go__digit=9__block=-1__phase=practice__practice=1,1296420.980291100,1296420.980534900
dynamic_sart_response_window_close__v=1__trial=-2__condition=go__digit=9__block=-1__phase=practice__practice=1,1296422.312879900,1296422.313098400
dynamic_sart_trial_complete__v=1__trial=-2__condition=go__digit=9__block=-1__phase=practice__practice=1,1296422.312879900,1296422.322107300
dynamic_sart_stimulus_onset__v=1__trial=-3__condition=go__digit=2__block=-1__phase=practice__practice=1,1296422.746290500,1296422.746503100
dynamic_sart_stimulus_offset__v=1__trial=-3__condition=go__digit=2__block=-1__phase=practice__practice=1,1296423.000345600,1296423.000560200
dynamic_sart_response_window_close__v=1__trial=-3__condition=go__digit=2__block=-1__phase=practice__practice=1,1296424.343703900,1296424.343931900
dynamic_sart_trial_complete__v=1__trial=-3__condition=go__digit=2__block=-1__phase=practice__practice=1,1296424.343703900,1296424.352559300
dynamic_sart_stimulus_onset__v=1__trial=-4__condition=go__digit=5__block=-1__phase=practice__practice=1,1296424.791162800,1296424.791403700
dynamic_sart_stimulus_offset__v=1__trial=-4__condition=go__digit=5__block=-1__phase=practice__practice=1,1296425.061666300,1296425.061891300
dynamic_sart_response_window_close__v=1__trial=-4__condition=go__digit=5__block=-1__phase=practice__practice=1,1296426.390168700,1296426.390382200
dynamic_sart_trial_complete__v=1__trial=-4__condition=go__digit=5__block=-1__phase=practice__practice=1,1296426.390168700,1296426.398104800
dynamic_sart_stimulus_onset__v=1__trial=-5__condition=go__digit=7__block=-1__phase=practice__practice=1,1296426.828224800,1296426.828432800
dynamic_sart_stimulus_offset__v=1__trial=-5__condition=go__digit=7__block=-1__phase=practice__practice=1,1296427.095232300,1296427.095448500
dynamic_sart_response_window_close__v=1__trial=-5__condition=go__digit=7__block=-1__phase=practice__practice=1,1296428.436383000,1296428.436578800
dynamic_sart_trial_complete__v=1__trial=-5__condition=go__digit=7__block=-1__phase=practice__practice=1,1296428.436383000,1296428.444036200
dynamic_sart_stimulus_onset__v=1__trial=-6__condition=no_go__digit=3__block=-1__phase=practice__practice=1,1296428.908299600,1296428.908461500
dynamic_sart_stimulus_offset__v=1__trial=-6__condition=no_go__digit=3__block=-1__phase=practice__practice=1,1296429.192528700,1296429.192765400
dynamic_sart_response_window_close__v=1__trial=-6__condition=no_go__digit=3__block=-1__phase=practice__practice=1,1296430.514285700,1296430.514542800
dynamic_sart_trial_complete__v=1__trial=-6__condition=no_go__digit=3__block=-1__phase=practice__practice=1,1296430.514285700,1296430.527970400
dynamic_sart_stimulus_onset__v=1__trial=-7__condition=go__digit=8__block=-1__phase=practice__practice=1,1296430.977521100,1296430.977827900
dynamic_sart_stimulus_offset__v=1__trial=-7__condition=go__digit=8__block=-1__phase=practice__practice=1,1296431.252040300,1296431.252578000
dynamic_sart_response_window_close__v=1__trial=-7__condition=go__digit=8__block=-1__phase=practice__practice=1,1296432.578314600,1296432.578535200
dynamic_sart_trial_complete__v=1__trial=-7__condition=go__digit=8__block=-1__phase=practice__practice=1,1296432.578314600,1296432.587530600
dynamic_sart_stimulus_onset__v=1__trial=-8__condition=go__digit=0__block=-1__phase=practice__practice=1,1296433.020695500,1296433.020904100
dynamic_sart_stimulus_offset__v=1__trial=-8__condition=go__digit=0__block=-1__phase=practice__practice=1,1296433.281737000,1296433.281961500
