global_trial_index,phase,is_practice,stimulus_onset_monotonic,stimulus_onset_lsl,scheduled_response_window_close_monotonic,scheduled_response_window_close_lsl,response_window_close_monotonic,response_window_close_lsl,response_window_close_overshoot_seconds,scheduled_next_trial_onset_monotonic,actual_next_trial_onset_monotonic,actual_next_trial_onset_lsl,actual_trial_duration_seconds,actual_trial_duration_lsl_seconds,next_onset_schedule_drift_seconds,planned_break_after_trial,probe_after,timing_semantics_version,timing_finalization_status
-1,practice,1,1296418.453,1296418.6443895,1296420.053,1296420.2443895,1296420.062,1296420.2485664,0.008999999845400453,1296420.053,1296420.515,1296420.7025329,2.0619999999180436,2.0581434001214802,0.46199999982491136,0,,2,measured_from_next_stimulus_flip
-2,practice,1,1296420.515,1296420.7025329,1296422.115,1296422.3025329001,1296422.125,1296422.3128799,0.010000000009313226,1296422.115,1296422.546,1296422.7462905,2.0310000001918525,2.043757600011304,0.4310000000987202,0,,2,measured_from_next_stimulus_flip
-3,practice,1,1296422.546,1296422.7462905,1296424.1460000002,1296424.3462905001,1296424.156,1296424.3437039,0.009999999776482582,1296424.1460000002,1296424.593,1296424.7911628,2.047000000020489,2.0448723000008613,0.44699999992735684,0,,2,measured_from_next_stimulus_flip
-4,practice,1,1296424.593,1296424.7911628,1296426.1930000002,1296426.3911628001,1296426.203,1296426.3901687,0.009999999776482582,1296426.1930000002,1296426.64,1296426.8282248,2.0469999997876585,2.037062000017613,0.4469999996945262,0,,2,measured_from_next_stimulus_flip
-5,practice,1,1296426.64,1296426.8282248,1296428.24,1296428.4282248002,1296428.25,1296428.436383,0.010000000009313226,1296428.24,1296428.718,1296428.9082996,2.0780000002123415,2.080074799945578,0.4780000001192093,0,,2,measured_from_next_stimulus_flip
-6,practice,1,1296428.718,1296428.9082996,1296430.3180000002,1296430.5082996,1296430.328,1296430.5142857,0.009999999776482582,1296430.3180000002,1296430.781,1296430.9775211,2.0629999998491257,2.069221500074491,0.4629999997559935,0,,2,measured_from_next_stimulus_flip
-7,practice,1,1296430.781,1296430.9775211,1296432.381,1296432.5775211002,1296432.39,1296432.5783146,0.008999999845400453,1296432.381,1296432.828,1296433.0206955,2.047000000020489,2.0431743999943137,0.44699999992735684,0,,2,measured_from_next_stimulus_flip
-8,practice,1,1296432.828,1296433.0206955,1296434.428,1296434.6206955002,1296434.437,1296434.6240519,0.008999999845400453,1296434.428,1296434.89,1296435.0807954,2.0619999999180436,2.06009990000166,0.46199999982491136,0,,2,measured_from_next_stimulus_flip
-9,practice,1,1296434.89,1296435.0807954,1296436.49,1296436.6807954002,1296436.5,1296436.6863807,0.010000000009313226,1296436.49,1296436.968,1296437.1595818,2.0780000002123415,2.0787863999139518,0.4780000001192093,0,,2,measured_from_next_stimulus_flip
-10,practice,1,1296436.968,1296437.1595818,1296438.5680000002,1296438.7595818,1296438.578,1296438.7643979,0.009999999776482582,1296438.5680000002,1296439.031,1296439.2197089,2.0629999998491257,2.0601270999759436,0.4629999997559935,0,,2,measured_from_next_stimulus_flip
-11,practice,1,1296439.031,1296439.2197089,1296440.631,1296440.8197089,1296440.64,1296440.8269779,0.008999999845400453,1296440.631,1296441.062,1296441.2635313,2.030999999959022,2.043822400039062,0.43099999986588955,0,,2,measured_from_next_stimulus_flip
-12,practice,1,1296441.062,1296441.2635313,1296442.662,1296442.8635313,1296442.671,1296442.8590628,0.009000000078231096,1296442.662,1296443.125,1296443.3170113,2.0630000000819564,2.0534800000023097,0.46299999998882413,0,,2,measured_from_next_stimulus_flip
-13,practice,1,1296443.125,1296443.3170113,1296444.725,1296444.9170113,1296444.734,1296444.9202748,0.008999999845400453,1296444.725,1296445.187,1296445.3839923,2.0619999999180436,2.06698099989444,0.46199999982491136,0,,2,measured_from_next_stimulus_flip
-14,practice,1,1296445.187,1296445.3839923,1296446.787,1296446.9839923,1296446.796,1296446.9825936,0.009000000078231096,1296446.787,1296447.218,1296447.4135494,2.0310000001918525,2.029557100031525,0.4310000000987202,0,,2,measured_from_next_stimulus_flip
-15,practice,1,1296447.218,1296447.4135494,1296448.8180000002,1296449.0135494,1296448.828,1296449.0152865,0.009999999776482582,1296448.8180000002,1296449.281,1296449.4698442,2.0629999998491257,2.0562948000151664,0.4629999997559935,0,,2,measured_from_next_stimulus_flip
-16,practice,1,1296449.281,1296449.4698442,1296450.881,1296451.0698442,1296450.89,1296451.0768769,0.008999999845400453,1296450.881,1296451.328,1296451.5156419,2.047000000020489,2.045797700062394,0.44699999992735684,0,,2,measured_from_next_stimulus_flip
-17,practice,1,1296451.328,1296451.5156419,1296452.928,1296453.1156419,1296452.937,1296453.1250451,0.008999999845400453,1296452.928,1296453.406,1296453.5928133,2.077999999979511,2.077171399956569,0.47799999988637865,0,,2,measured_from_next_stimulus_flip
-18,practice,1,1296453.406,1296453.5928133,1296455.006,1296455.1928133,1296455.015,1296455.2022374,0.008999999845400453,1296455.006,1296455.468,1296455.6666484,2.0620000001508743,2.0738351000472903,0.462000000057742,0,,2,measured_from_next_stimulus_flip
-19,practice,1,1296455.468,1296455.6666484,1296457.0680000002,1296457.2666484,1296457.078,1296457.2633818,0.009999999776482582,1296457.0680000002,1296457.515,1296457.7013871,2.0469999997876585,2.0347386999055743,0.4469999996945262,0,,2,measured_from_next_stimulus_flip
-20,practice,1,1296457.515,1296457.7013871,1296459.115,1296459.3013871,1296459.125,1296459.3120767,0.010000000009313226,1296459.115,1296459.578,1296459.7772406,2.0630000000819564,2.0758535000495613,0.46299999998882413,0,,2,measured_from_next_stimulus_flip
-21,practice,1,1296459.578,1296459.7772406,1296461.178,1296461.3772406,1296461.187,1296461.3739256,0.008999999845400453,1296461.178,1296461.656,1296461.8467583,2.077999999979511,2.0695177000015974,0.47799999988637865,0,,2,measured_from_next_stimulus_flip
-22,practice,1,1296461.656,1296461.8467583,1296463.256,1296463.4467583,1296463.265,1296463.4533817,0.008999999845400453,1296463.256,1296463.703,1296463.9025563,2.047000000020489,2.0557979999575764,0.44699999992735684,0,,2,measured_from_next_stimulus_flip
-23,practice,1,1296463.703,1296463.9025563,1296465.303,1296465.5025563,1296465.312,1296465.4992698,0.008999999845400453,1296465.303,1296465.765,1296465.9580316,2.0619999999180436,2.055475300177932,0.46199999982491136,0,,2,measured_from_next_stimulus_flip
-24,practice,1,1296465.765,1296465.9580316,1296467.365,1296467.5580316002,1296467.375,1296467.561031,0.010000000009313226,1296467.365,1296467.828,1296468.0228187,2.0630000000819564,2.064787099836394,0.46299999998882413,0,,2,measured_from_next_stimulus_flip
-25,practice,1,1296467.828,1296468.0228187,1296469.428,1296469.6228187,1296469.437,1296469.6232277,0.008999999845400453,1296469.428,1296469.906,1296470.1002193,2.077999999979511,2.0774006000719965,0.47799999988637865,0,,2,measured_from_next_stimulus_flip
-26,practice,1,1296469.906,1296470.1002193,1296471.506,1296471.7002193,1296471.515,1296471.7020811,0.008999999845400453,1296471.506,1296471.968,1296472.1673945,2.0620000001508743,2.067175199976191,0.462000000057742,0,,2,measured_from_next_stimulus_flip
-27,practice,1,1296471.968,1296472.1673945,1296473.5680000002,1296473.7673945,1296473.578,1296473.7656057,0.009999999776482582,1296473.5680000002,1296474.015,1296474.2151878,2.0469999997876585,2.0477932998910546,0.4469999996945262,0,,2,measured_from_next_stimulus_flip
-28,practice,1,1296474.015,1296474.2151878,1296475.615,1296475.8151878,1296475.625,1296475.8122263,0.010000000009313226,1296475.615,1296476.078,1296476.2671001,2.0630000000819564,2.0519123000558466,0.46299999998882413,0,,2,measured_from_next_stimulus_flip
