trial,label,event_type,timestamp,value,metadata
,task_start,SYSTEM,503995.984,,"{""lsl_timestamp"": 503996.0068349, ""marker_push_latency_ms"": 0.0, ""mode"": ""psychopy"", ""task"": ""go_nogo""}"
-2,go_nogo_stimulus_onset_-2_nogo_x_white,EVENT,503997.406,,"{""color"": ""white"", ""expected_frame_interval_ms"": 16.670639999210835, ""expected_refresh_rate_hz"": 60.0, ""expected_visual_onset_lsl_timestamp"": 503997.4420592, ""expected_visual_onset_monotonic"": 503997.406, ""expected_visual_onset_uncertainty_ms"": 8.335319999605417, ""fixed_display_latency_ms"": 0.0, ""flip_lsl_timestamp"": 503997.4420592, ""flip_monotonic"": 503997.406, ""is_no_go"": true, ""lsl_timestamp"": 503997.4420592, ""marker_push_latency_ms"": 0.0, ""measured_refresh_rate_hz"": 59.98569941210048, ""photodiode_verification_enabled"": false, ""scheduled_on_flip"": true, ""shape"": ""x"", ""timing_model"": ""psychopy_callOnFlip_plus_fixed_display_latency""}"
-2,go_nogo_stimulus_offset_-2_nogo_x_white,EVENT,503998.218,,"{""color"": ""white"", ""expected_frame_interval_ms"": 16.670639999210835, ""expected_refresh_rate_hz"": 60.0, ""expected_visual_onset_lsl_timestamp"": 503998.2509962, ""expected_visual_onset_monotonic"": 503998.218, ""expected_visual_onset_uncertainty_ms"": 8.335319999605417, ""fixed_display_latency_ms"": 0.0, ""flip_lsl_timestamp"": 503998.2509962, ""flip_monotonic"": 503998.218, ""is_no_go"": true, ""lsl_timestamp"": 503998.2509962, ""marker_push_latency_ms"": 0.0, ""measured_refresh_rate_hz"": 59.98569941210048, ""photodiode_verification_enabled"": false, ""scheduled_on_flip"": true, ""shape"": ""x"", ""timing_model"": ""psychopy_callOnFlip_plus_fixed_display_latency""}"
-1,go_nogo_stimulus_onset_-1_go_star_blue,EVENT,504000.734,,"{""color"": ""blue"", ""expected_frame_interval_ms"": 16.670639999210835, ""expected_refresh_rate_hz"": 60.0, ""expected_visual_onset_lsl_timestamp"": 504000.7594306, ""expected_visual_onset_monotonic"": 504000.734, ""expected_visual_onset_uncertainty_ms"": 8.335319999605417, ""fixed_display_latency_ms"": 0.0, ""flip_lsl_timestamp"": 504000.7594306, ""flip_monotonic"": 504000.734, ""is_no_go"": false, ""lsl_timestamp"": 504000.7594306, ""marker_push_latency_ms"": 0.0, ""measured_refresh_rate_hz"": 59.98569941210048, ""photodiode_verification_enabled"": false, ""scheduled_on_flip"": true, ""shape"": ""star"", ""timing_model"": ""psychopy_callOnFlip_plus_fixed_display_latency""}"
-1,button_press,EVENT,504001.4441147,space,"{""is_response_key"": true, ""lsl_timestamp"": 504001.4695453, ""marker_push_latency_ms"": 0.0, ""rt_from_flip_seconds"": 0.7101147000212222, ""rt_seconds"": 0.7101147000212222}"
-1,go_nogo_stimulus_offset_-1_go_star_blue,EVENT,504001.531,,"{""color"": ""blue"", ""expected_frame_interval_ms"": 16.670639999210835, ""expected_refresh_rate_hz"": 60.0, ""expected_visual_onset_lsl_timestamp"": 504001.5670613, ""expected_visual_onset_monotonic"": 504001.531, ""expected_visual_onset_uncertainty_ms"": 8.335319999605417, ""fixed_display_latency_ms"": 0.0, ""flip_lsl_timestamp"": 504001.5670613, ""flip_monotonic"": 504001.531, ""is_no_go"": false, ""lsl_timestamp"": 504001.5670613, ""marker_push_latency_ms"": 0.0, ""measured_refresh_rate_hz"": 59.98569941210048, ""photodiode_verification_enabled"": false, ""scheduled_on_flip"": true, ""shape"": ""star"", ""timing_model"": ""psychopy_callOnFlip_plus_fixed_display_latency""}"
,countdown_3,SYSTEM,504003.359,,"{""expected_frame_interval_ms"": 16.670639999210835, ""expected_refresh_rate_hz"": 60.0, ""expected_visual_onset_lsl_timestamp"": 504003.3864984, ""expected_visual_onset_monotonic"": 504003.359, ""expected_visual_onset_uncertainty_ms"": 8.335319999605417, ""fixed_display_latency_ms"": 0.0, ""flip_lsl_timestamp"": 504003.3864984, ""flip_monotonic"": 504003.359, ""lsl_timestamp"": 504003.3864984, ""marker_push_latency_ms"": 0.0, ""measured_refresh_rate_hz"": 59.98569941210048, ""photodiode_verification_enabled"": false, ""scheduled_on_flip"": true, ""task"": ""go_nogo"", ""timing_model"": ""psychopy_callOnFlip_plus_fixed_display_latency""}"
,countdown_2,SYSTEM,504004.375,,"{""expected_frame_interval_ms"": 16.670639999210835, ""expected_refresh_rate_hz"": 60.0, ""expected_visual_onset_lsl_timestamp"": 504004.399429, ""expected_visual_onset_monotonic"": 504004.375, ""expected_visual_onset_uncertainty_ms"": 8.335319999605417, ""fixed_display_latency_ms"": 0.0, ""flip_lsl_timestamp"": 504004.399429, ""flip_monotonic"": 504004.375, ""lsl_timestamp"": 504004.399429, ""marker_push_latency_ms"": 0.0, ""measured_refresh_rate_hz"": 59.98569941210048, ""photodiode_verification_enabled"": false, ""scheduled_on_flip"": true, ""task"": ""go_nogo"", ""timing_model"": ""psychopy_callOnFlip_plus_fixed_display_latency""}"
,countdown_1,SYSTEM,504005.39,,"{""expected_frame_interval_ms"": 16.670639999210835, ""expected_refresh_rate_hz"": 60.0, ""expected_visual_onset_lsl_timestamp"": 504005.4164705, ""expected_visual_onset_monotonic"": 504005.39, ""expected_visual_onset_uncertainty_ms"": 8.335319999605417, ""fixed_display_latency_ms"": 0.0, ""flip_lsl_timestamp"": 504005.4164705, ""flip_monotonic"": 504005.39, ""lsl_timestamp"": 504005.4164705, ""marker_push_latency_ms"": 0.0, ""measured_refresh_rate_hz"": 59.98569941210048, ""photodiode_verification_enabled"": false, ""scheduled_on_flip"": true, ""task"": ""go_nogo"", ""timing_model"": ""psychopy_callOnFlip_plus_fixed_display_latency""}"
,countdown_go,SYSTEM,504006.406,,"{""expected_frame_interval_ms"": 16.670639999210835, ""expected_refresh_rate_hz"": 60.0, ""expected_visual_onset_lsl_timestamp"": 504006.4315059, ""expected_visual_onset_monotonic"": 504006.406, ""expected_visual_onset_uncertainty_ms"": 8.335319999605417, ""fixed_display_latency_ms"": 0.0, ""flip_lsl_timestamp"": 504006.4315059, ""flip_monotonic"": 504006.406, ""lsl_timestamp"": 504006.4315059, ""marker_push_latency_ms"": 0.0, ""measured_refresh_rate_hz"": 59.98569941210048, ""photodiode_verification_enabled"": false, ""scheduled_on_flip"": true, ""task"": ""go_nogo"", ""timing_model"": ""psychopy_callOnFlip_plus_fixed_display_latency""}"
1,go_nogo_stimulus_onset_1_nogo_x_white,EVENT,504006.921,,"{""color"": ""white"", ""expected_frame_interval_ms"": 16.670639999210835, ""expected_refresh_rate_hz"": 60.0, ""expected_visual_onset_lsl_timestamp"": 504006.951977, ""expected_visual_onset_monotonic"": 504006.921, ""expected_visual_onset_uncertainty_ms"": 8.335319999605417, ""fixed_display_latency_ms"": 0.0, ""flip_lsl_timestamp"": 504006.951977, ""flip_monotonic"": 504006.921, ""is_no_go"": true, ""lsl_timestamp"": 504006.951977, ""marker_push_latency_ms"": 0.0, ""measured_refresh_rate_hz"": 59.98569941210048, ""photodiode_verification_enabled"": false, ""scheduled_on_flip"": true, ""shape"": ""x"", ""timing_model"": ""psychopy_callOnFlip_plus_fixed_display_latency""}"
1,go_nogo_stimulus_offset_1_nogo_x_white,EVENT,504007.734,,"{""color"": ""white"", ""expected_frame_interval_ms"": 16.670639999210835, ""expected_refresh_rate_hz"": 60.0, ""expected_visual_onset_lsl_timestamp"": 504007.7606466, ""expected_visual_onset_monotonic"": 504007.734, ""expected_visual_onset_uncertainty_ms"": 8.335319999605417, ""fixed_display_latency_ms"": 0.0, ""flip_lsl_timestamp"": 504007.7606466, ""flip_monotonic"": 504007.734, ""is_no_go"": true, ""lsl_timestamp"": 504007.7606466, ""marker_push_latency_ms"": 0.0, ""measured_refresh_rate_hz"": 59.98569941210048, ""photodiode_verification_enabled"": false, ""scheduled_on_flip"": true, ""shape"": ""x"", ""timing_model"": ""psychopy_callOnFlip_plus_fixed_display_latency""}"
1,go_nogo_trial_complete,EVENT,504007.734,,"{""attention_challenge"": {""enabled"": false, ""expected_state"": ""normal"", ""is_cue_trial"": false}, ""button_press_count"": 0, ""commission_error"": 0, ""condition"": ""no_go"", ""correct"": true, ""correct_press"": 1, ""event_type_name"": ""go_nogo_trial_complete"", ""is_no_go"": true, ""omission_error"": 0, ""practice"": false, ""reaction_time_seconds"": null, ""schema_version"": 1, ""session_dir"": ""C:\\Users\\Surettej\\Documents\\Codespace\\eegle\\data\\participants\\sub-001-calibration\\sessions\\2026-07-14\\attention_lapse_go_nogo8_observe_only\\go_nogo\\run-20260714T125304"", ""source"": ""task.go_nogo"", ""stimulus_offset_lsl_timestamp"": 504007.7606466, ""stimulus_offset_monotonic"": 504007.734, ""stimulus_onset_lsl_timestamp"": 504006.951977, ""stimulus_onset_monotonic"": 504006.921, ""task"": ""go_nogo""}"
2,go_nogo_stimulus_onset_2_go_square_red,EVENT,504008.453,,"{""color"": ""red"", ""expected_frame_interval_ms"": 16.670639999210835, ""expected_refresh_rate_hz"": 60.0, ""expected_visual_onset_lsl_timestamp"": 504008.4835249, ""expected_visual_onset_monotonic"": 504008.453, ""expected_visual_onset_uncertainty_ms"": 8.335319999605417, ""fixed_display_latency_ms"": 0.0, ""flip_lsl_timestamp"": 504008.4835249, ""flip_monotonic"": 504008.453, ""is_no_go"": false, ""lsl_timestamp"": 504008.4835249, ""marker_push_latency_ms"": 0.0, ""measured_refresh_rate_hz"": 59.98569941210048, ""photodiode_verification_enabled"": false, ""scheduled_on_flip"": true, ""shape"": ""square"", ""timing_model"": ""psychopy_callOnFlip_plus_fixed_display_latency""}"
2,button_press,EVENT,504008.83761299995,space,"{""is_response_key"": true, ""lsl_timestamp"": 504008.86813789996, ""marker_push_latency_ms"": 0.0, ""rt_from_flip_seconds"": 0.38461299997288734, ""rt_seconds"": 0.38461299997288734}"
