stimulus_number,is_no_go,reaction_time,correct_press,rolling_average_accuracy,button_press_count,timestamp_since_start,attention_challenge_expected_state,attention_challenge_cue
1,1,,1,1.000000,0,10.937000,normal,0
2,0,0.384613,1,1.000000,1,12.469000,normal,0
3,0,0.394519,1,1.000000,1,14.016000,normal,0
4,1,,1,1.000000,0,15.578000,normal,0
5,0,0.474717,1,1.000000,1,17.109000,normal,0
6,0,0.532888,1,1.000000,1,18.641000,normal,0
7,1,,1,1.000000,0,20.172000,normal,0
8,1,,1,1.000000,0,21.719000,normal,0
9,0,0.359957,1,1.000000,1,23.266000,normal,0
10,0,0.372011,1,1.000000,1,24.797000,normal,0
11,0,0.489989,1,1.000000,1,26.328000,normal,0
12,0,0.438030,1,1.000000,1,27.891000,normal,0
13,0,0.548843,1,1.000000,1,29.422000,normal,0
14,1,0.571567,0,0.928571,1,30.953000,normal,0
15,1,,1,0.933333,0,32.516000,normal,0
16,0,,0,0.875000,0,34.047000,normal,0
17,0,,0,0.823529,0,35.578000,normal,0
18,0,0.402338,1,0.833333,1,37.125000,normal,0
19,0,,0,0.789474,0,38.672000,normal,0
20,0,0.622452,1,0.800000,1,40.219000,normal,0
21,0,0.423478,1,0.809524,1,41.766000,normal,0
22,0,0.331402,1,0.818182,1,43.297000,normal,0
23,0,0.331902,1,0.826087,1,44.844000,normal,0
24,1,,1,0.833333,0,46.391000,normal,0
25,0,0.381850,1,0.840000,1,47.953000,normal,0
26,0,0.408615,1,0.846154,1,49.484000,normal,0
27,0,0.422362,1,0.851852,1,51.031000,normal,0
28,0,,0,0.821429,0,52.562000,normal,0
29,0,0.694277,1,0.827586,1,54.109000,normal,0
30,1,,1,0.833333,0,55.656000,normal,0
31,1,,1,0.838710,0,57.187000,normal,0
32,0,0.538643,1,0.843750,1,58.734000,normal,0
33,0,0.683480,1,0.848485,1,60.281000,normal,0
34,0,0.540557,1,0.852941,1,61.844000,normal,0
35,0,0.457645,1,0.857143,1,63.375000,normal,0
36,0,0.560342,1,0.861111,1,64.922000,normal,0
37,0,0.575137,1,0.864865,1,66.500000,normal,0
38,1,,1,0.868421,0,68.031000,normal,0
39,0,0.425188,1,0.871795,1,69.578000,normal,0
40,0,0.723727,1,0.875000,1,71.109000,normal,0
41,0,,0,0.853659,0,72.672000,normal,0
42,1,,1,0.857143,0,74.219000,normal,0
43,0,,0,0.837209,0,75.766000,normal,0
44,1,,1,0.840909,0,77.312000,normal,0
45,0,0.297807,1,0.844444,1,78.844000,normal,0
46,1,,1,0.847826,0,80.391000,normal,0
47,1,,1,0.851064,0,81.937000,normal,0
48,1,,1,0.854167,0,83.484000,normal,0
49,0,0.676798,1,0.857143,1,85.031000,normal,0
50,1,,1,0.860000,0,86.562000,normal,0
51,0,0.452039,1,0.862745,1,88.125000,normal,0
52,0,0.439497,1,0.865385,1,89.672000,normal,0
53,0,0.437526,1,0.867925,1,91.219000,normal,0
54,1,0.364054,0,0.851852,1,92.750000,normal,0
55,1,,1,0.854545,0,94.312000,normal,0
56,0,0.593382,1,0.857143,1,95.859000,normal,0
57,0,0.363084,1,0.859649,1,97.406000,normal,0
58,1,,1,0.862069,0,98.953000,normal,0
59,1,0.697528,0,0.847458,1,100.516000,normal,0
60,0,0.542017,1,0.850000,1,102.062000,normal,0
61,0,0.692020,1,0.852459,1,103.594000,normal,0
62,0,0.429797,1,0.854839,1,105.141000,normal,0
63,0,0.407005,1,0.857143,1,106.687000,normal,0
64,0,0.695522,1,0.859375,1,108.250000,normal,0
65,0,0.355811,1,0.861538,1,109.797000,normal,0
66,0,0.396280,1,0.863636,1,111.344000,normal,0
67,0,0.349611,1,0.865672,1,112.906000,normal,0
68,0,0.366314,1,0.867647,1,114.469000,normal,0
69,0,0.309869,1,0.869565,1,116.000000,normal,0
70,0,0.400991,1,0.871429,1,117.547000,normal,0
71,0,0.412529,1,0.873239,1,119.078000,normal,0
72,1,,1,0.875000,0,120.625000,normal,0
73,0,0.430910,1,0.876712,1,122.172000,normal,0
74,1,,1,0.878378,0,123.719000,normal,0
75,0,0.550836,1,0.880000,1,125.250000,normal,0
76,0,0.370187,1,0.881579,1,126.797000,normal,0
77,0,0.426551,1,0.883117,1,128.344000,normal,0
78,0,0.413231,1,0.884615,1,129.891000,normal,0
79,1,,1,0.886076,0,131.437000,normal,0
80,0,0.402062,1,0.887500,1,132.984000,normal,0
81,0,0.491603,1,0.888889,2,134.547000,normal,0
82,1,,1,0.890244,0,136.094000,normal,0
83,1,,1,0.891566,0,137.641000,normal,0
84,0,,0,0.880952,0,139.187000,normal,0
85,1,,1,0.882353,0,140.734000,normal,0
86,0,0.419650,1,0.883721,1,142.281000,normal,0
87,0,0.361123,1,0.885057,1,143.828000,normal,0
88,1,,1,0.886364,0,145.406000,normal,0
89,0,0.379724,1,0.887640,1,146.953000,normal,0
90,0,0.468804,1,0.888889,1,148.484000,normal,0
91,1,0.445997,0,0.879121,1,150.047000,normal,0
92,1,,1,0.880435,0,151.609000,normal,0
93,0,0.396147,1,0.881720,1,153.156000,normal,0
94,0,0.401706,1,0.882979,1,154.703000,normal,0
95,1,,1,0.884211,0,156.250000,normal,0
96,1,,1,0.885417,0,157.828000,normal,0
97,0,0.331786,1,0.886598,1,159.359000,normal,0
98,0,0.340740,1,0.887755,1,160.906000,normal,0
99,0,0.332920,1,0.888889,1,162.453000,normal,0
100,0,0.340164,1,0.890000,1,164.016000,normal,0
101,0,0.289367,1,0.891089,1,165.562000,normal,0
102,0,0.394638,1,0.892157,1,167.109000,normal,0
103,1,,1,0.893204,0,168.656000,normal,0
104,0,0.666710,1,0.894231,1,170.203000,normal,0
105,0,0.448352,1,0.895238,1,171.750000,normal,0
106,0,0.385680,1,0.896226,1,173.297000,normal,0
107,0,0.505400,1,0.897196,1,174.844000,normal,0
108,0,0.321929,1,0.898148,1,176.406000,normal,0
109,0,0.385140,1,0.899083,1,177.937000,normal,0
110,1,,1,0.900000,0,179.516000,normal,0
111,1,,1,0.900901,0,181.078000,normal,0
112,0,,0,0.892857,0,182.609000,normal,0
113,0,0.348508,1,0.893805,1,184.187000,normal,0
114,0,0.385276,1,0.894737,1,185.734000,normal,0
115,0,0.355953,1,0.895652,1,187.281000,normal,0
116,1,,1,0.896552,0,188.844000,normal,0
117,0,0.335443,1,0.897436,1,190.391000,normal,0
118,0,0.581594,1,0.898305,1,191.937000,normal,0
119,0,0.425258,1,0.899160,1,193.484000,normal,0
120,1,,1,0.900000,0,195.031000,normal,0
121,0,,0,0.892562,0,196.578000,normal,0
122,0,0.668925,1,0.893443,1,198.156000,normal,0
123,0,0.370293,1,0.894309,1,199.703000,normal,0
124,0,0.302019,1,0.895161,1,201.266000,normal,0
125,0,0.340961,1,0.896000,1,202.812000,normal,0
126,1,0.265800,0,0.888889,1,204.375000,normal,0
127,0,0.235804,1,0.889764,1,205.922000,normal,0
128,0,0.331158,1,0.890625,1,207.484000,normal,0
129,0,0.556591,1,0.891473,1,209.031000,normal,0
130,0,,0,0.884615,0,210.594000,normal,0
131,0,0.414746,1,0.885496,1,212.141000,normal,0
132,0,0.367075,1,0.886364,1,213.703000,normal,0
133,0,0.357678,1,0.887218,1,215.250000,normal,0
134,0,0.368470,1,0.888060,1,216.797000,normal,0
135,0,0.404304,1,0.888889,1,218.344000,normal,0
136,0,0.369431,1,0.889706,1,219.891000,normal,0
137,1,,1,0.890511,0,221.437000,normal,0
138,0,0.374350,1,0.891304,1,222.984000,normal,0
139,0,0.378181,1,0.892086,1,224.562000,normal,0
140,1,0.357189,0,0.885714,1,226.125000,normal,0
141,0,0.421364,1,0.886525,1,227.672000,normal,0
142,1,0.666430,0,0.880282,1,229.234000,normal,0
143,1,0.305069,0,0.874126,1,230.781000,normal,0
144,0,0.378324,1,0.875000,1,232.328000,normal,0
145,0,0.530299,1,0.875862,1,233.891000,normal,0
146,1,,1,0.876712,0,235.453000,normal,0
147,0,,0,0.870748,0,237.016000,normal,0
148,0,0.343405,1,0.871622,1,238.562000,normal,0
149,1,,1,0.872483,0,240.125000,normal,0
150,0,0.629781,1,0.873333,1,241.672000,normal,0
151,0,,0,0.867550,0,243.219000,normal,0
152,0,0.383596,1,0.868421,1,244.781000,normal,0
153,1,,1,0.869281,0,246.344000,normal,0
154,0,0.540434,1,0.870130,1,247.906000,normal,0
155,1,,1,0.870968,0,249.469000,normal,0
156,0,0.378266,1,0.871795,1,251.031000,normal,0
157,0,0.340303,1,0.872611,1,252.578000,normal,0
158,0,0.332434,1,0.873418,1,254.156000,normal,0
159,0,,0,0.867925,0,255.719000,normal,0
160,0,0.430577,1,0.868750,1,257.281000,normal,0
161,0,0.414548,1,0.869565,1,258.844000,normal,0
162,0,0.439208,1,0.870370,1,260.406000,normal,0
163,0,0.455554,1,0.871166,1,261.969000,normal,0
164,0,0.455572,1,0.871951,1,263.516000,normal,0
165,0,0.408411,1,0.872727,1,265.094000,normal,0
166,0,0.424904,1,0.873494,1,266.641000,normal,0
167,0,0.620745,1,0.874251,1,268.203000,normal,0
168,0,0.426843,1,0.875000,1,269.750000,normal,0
169,0,0.335138,1,0.875740,1,271.328000,normal,0
170,1,0.319750,0,0.870588,1,272.875000,normal,0
171,0,0.525402,1,0.871345,1,274.437000,normal,0
172,0,0.382299,1,0.872093,1,276.000000,normal,0
173,0,0.620309,1,0.872832,1,277.562000,normal,0
174,0,0.403668,1,0.873563,1,279.141000,normal,0
175,0,,0,0.868571,0,280.703000,normal,0
176,0,,0,0.863636,0,282.281000,normal,0
177,0,0.454738,1,0.864407,1,283.828000,normal,0
178,0,0.322189,1,0.865169,1,285.391000,normal,0
179,0,,0,0.860335,0,286.984000,normal,0
180,0,0.252564,1,0.861111,1,288.547000,normal,0
181,0,0.379136,1,0.861878,1,290.109000,normal,0
182,0,0.404131,1,0.862637,1,291.672000,normal,0
183,1,,1,0.863388,0,293.234000,normal,0
184,1,,1,0.864130,0,294.797000,normal,0
185,0,0.412823,1,0.864865,1,296.359000,normal,0
186,1,0.719533,0,0.860215,1,297.937000,normal,0
187,1,0.289997,0,0.855615,1,299.500000,normal,0
188,0,0.402215,1,0.856383,1,301.062000,normal,0
189,1,,1,0.857143,0,302.625000,normal,0
190,0,0.388705,1,0.857895,1,304.172000,normal,0
191,0,0.431850,1,0.858639,1,305.734000,normal,0
192,1,,1,0.859375,0,307.297000,normal,0
193,0,,0,0.854922,0,308.859000,normal,0
194,1,,1,0.855670,0,310.422000,normal,0
195,0,0.403126,1,0.856410,1,311.969000,normal,0
196,0,0.379724,1,0.857143,1,313.547000,normal,0
197,0,0.558128,1,0.857868,1,315.094000,normal,0
198,0,0.549577,1,0.858586,1,316.656000,normal,0
199,0,,0,0.854271,0,318.203000,normal,0
