trial,label,event_type,timestamp,value,metadata
,task_start,SYSTEM,504792.75,,"{""lsl_timestamp"": 504792.7832195, ""marker_push_latency_ms"": 0.0, ""mode"": ""psychopy"", ""task"": ""go_nogo""}"
-2,go_nogo_stimulus_onset_-2_nogo_x_white,EVENT,504795.171,,"{""color"": ""white"", ""expected_frame_interval_ms"": 16.60961000015959, ""expected_refresh_rate_hz"": 60.0, ""expected_visual_onset_lsl_timestamp"": 504795.2066614, ""expected_visual_onset_monotonic"": 504795.171, ""expected_visual_onset_uncertainty_ms"": 8.304805000079796, ""fixed_display_latency_ms"": 0.0, ""flip_lsl_timestamp"": 504795.2066614, ""flip_monotonic"": 504795.171, ""is_no_go"": true, ""lsl_timestamp"": 504795.2066614, ""marker_push_latency_ms"": 0.0, ""measured_refresh_rate_hz"": 60.20610959501106, ""photodiode_verification_enabled"": false, ""scheduled_on_flip"": true, ""shape"": ""x"", ""timing_model"": ""psychopy_callOnFlip_plus_fixed_display_latency""}"
-2,go_nogo_stimulus_offset_-2_nogo_x_white,EVENT,504795.984,,"{""color"": ""white"", ""expected_frame_interval_ms"": 16.60961000015959, ""expected_refresh_rate_hz"": 60.0, ""expected_visual_onset_lsl_timestamp"": 504796.0154175, ""expected_visual_onset_monotonic"": 504795.984, ""expected_visual_onset_uncertainty_ms"": 8.304805000079796, ""fixed_display_latency_ms"": 0.0, ""flip_lsl_timestamp"": 504796.0154175, ""flip_monotonic"": 504795.984, ""is_no_go"": true, ""lsl_timestamp"": 504796.0154175, ""marker_push_latency_ms"": 0.0, ""measured_refresh_rate_hz"": 60.20610959501106, ""photodiode_verification_enabled"": false, ""scheduled_on_flip"": true, ""shape"": ""x"", ""timing_model"": ""psychopy_callOnFlip_plus_fixed_display_latency""}"
-1,go_nogo_stimulus_onset_-1_go_star_magenta,EVENT,504815.937,,"{""color"": ""magenta"", ""expected_frame_interval_ms"": 16.60961000015959, ""expected_refresh_rate_hz"": 60.0, ""expected_visual_onset_lsl_timestamp"": 504815.966943, ""expected_visual_onset_monotonic"": 504815.937, ""expected_visual_onset_uncertainty_ms"": 8.304805000079796, ""fixed_display_latency_ms"": 0.0, ""flip_lsl_timestamp"": 504815.966943, ""flip_monotonic"": 504815.937, ""is_no_go"": false, ""lsl_timestamp"": 504815.966943, ""marker_push_latency_ms"": 0.0, ""measured_refresh_rate_hz"": 60.20610959501106, ""photodiode_verification_enabled"": false, ""scheduled_on_flip"": true, ""shape"": ""star"", ""timing_model"": ""psychopy_callOnFlip_plus_fixed_display_latency""}"
-1,go_nogo_stimulus_offset_-1_go_star_magenta,EVENT,504816.75,,"{""color"": ""magenta"", ""expected_frame_interval_ms"": 16.60961000015959, ""expected_refresh_rate_hz"": 60.0, ""expected_visual_onset_lsl_timestamp"": 504816.77484, ""expected_visual_onset_monotonic"": 504816.75, ""expected_visual_onset_uncertainty_ms"": 8.304805000079796, ""fixed_display_latency_ms"": 0.0, ""flip_lsl_timestamp"": 504816.77484, ""flip_monotonic"": 504816.75, ""is_no_go"": false, ""lsl_timestamp"": 504816.77484, ""marker_push_latency_ms"": 0.0, ""measured_refresh_rate_hz"": 60.20610959501106, ""photodiode_verification_enabled"": false, ""scheduled_on_flip"": true, ""shape"": ""star"", ""timing_model"": ""psychopy_callOnFlip_plus_fixed_display_latency""}"
,countdown_3,SYSTEM,504819.671,,"{""expected_frame_interval_ms"": 16.60961000015959, ""expected_refresh_rate_hz"": 60.0, ""expected_visual_onset_lsl_timestamp"": 504819.7029152, ""expected_visual_onset_monotonic"": 504819.671, ""expected_visual_onset_uncertainty_ms"": 8.304805000079796, ""fixed_display_latency_ms"": 0.0, ""flip_lsl_timestamp"": 504819.7029152, ""flip_monotonic"": 504819.671, ""lsl_timestamp"": 504819.7029152, ""marker_push_latency_ms"": 0.0, ""measured_refresh_rate_hz"": 60.20610959501106, ""photodiode_verification_enabled"": false, ""scheduled_on_flip"": true, ""task"": ""go_nogo"", ""timing_model"": ""psychopy_callOnFlip_plus_fixed_display_latency""}"
,countdown_2,SYSTEM,504820.687,,"{""expected_frame_interval_ms"": 16.60961000015959, ""expected_refresh_rate_hz"": 60.0, ""expected_visual_onset_lsl_timestamp"": 504820.7137465, ""expected_visual_onset_monotonic"": 504820.687, ""expected_visual_onset_uncertainty_ms"": 8.304805000079796, ""fixed_display_latency_ms"": 0.0, ""flip_lsl_timestamp"": 504820.7137465, ""flip_monotonic"": 504820.687, ""lsl_timestamp"": 504820.7137465, ""marker_push_latency_ms"": 0.0, ""measured_refresh_rate_hz"": 60.20610959501106, ""photodiode_verification_enabled"": false, ""scheduled_on_flip"": true, ""task"": ""go_nogo"", ""timing_model"": ""psychopy_callOnFlip_plus_fixed_display_latency""}"
,countdown_1,SYSTEM,504821.703,,"{""expected_frame_interval_ms"": 16.60961000015959, ""expected_refresh_rate_hz"": 60.0, ""expected_visual_onset_lsl_timestamp"": 504821.7359233, ""expected_visual_onset_monotonic"": 504821.703, ""expected_visual_onset_uncertainty_ms"": 8.304805000079796, ""fixed_display_latency_ms"": 0.0, ""flip_lsl_timestamp"": 504821.7359233, ""flip_monotonic"": 504821.703, ""lsl_timestamp"": 504821.7359233, ""marker_push_latency_ms"": 0.0, ""measured_refresh_rate_hz"": 60.20610959501106, ""photodiode_verification_enabled"": false, ""scheduled_on_flip"": true, ""task"": ""go_nogo"", ""timing_model"": ""psychopy_callOnFlip_plus_fixed_display_latency""}"
,countdown_go,SYSTEM,504822.718,,"{""expected_frame_interval_ms"": 16.60961000015959, ""expected_refresh_rate_hz"": 60.0, ""expected_visual_onset_lsl_timestamp"": 504822.7529585, ""expected_visual_onset_monotonic"": 504822.718, ""expected_visual_onset_uncertainty_ms"": 8.304805000079796, ""fixed_display_latency_ms"": 0.0, ""flip_lsl_timestamp"": 504822.7529585, ""flip_monotonic"": 504822.718, ""lsl_timestamp"": 504822.7529585, ""marker_push_latency_ms"": 0.0, ""measured_refresh_rate_hz"": 60.20610959501106, ""photodiode_verification_enabled"": false, ""scheduled_on_flip"": true, ""task"": ""go_nogo"", ""timing_model"": ""psychopy_callOnFlip_plus_fixed_display_latency""}"
1,go_nogo_stimulus_onset_1_go_star_green,EVENT,504823.234,,"{""color"": ""green"", ""expected_frame_interval_ms"": 16.60961000015959, ""expected_refresh_rate_hz"": 60.0, ""expected_visual_onset_lsl_timestamp"": 504823.2698875, ""expected_visual_onset_monotonic"": 504823.234, ""expected_visual_onset_uncertainty_ms"": 8.304805000079796, ""fixed_display_latency_ms"": 0.0, ""flip_lsl_timestamp"": 504823.2698875, ""flip_monotonic"": 504823.234, ""is_no_go"": false, ""lsl_timestamp"": 504823.2698875, ""marker_push_latency_ms"": 0.0, ""measured_refresh_rate_hz"": 60.20610959501106, ""photodiode_verification_enabled"": false, ""scheduled_on_flip"": true, ""shape"": ""star"", ""timing_model"": ""psychopy_callOnFlip_plus_fixed_display_latency""}"
