stimulus_number,is_no_go,reaction_time,correct_press,rolling_average_accuracy,button_press_count,timestamp_since_start,attention_challenge_expected_state,attention_challenge_cue
1,0,,0,0.000000,0,30.484000,normal,0
2,0,0.610579,1,0.500000,1,32.031000,normal,0
3,0,0.408633,1,0.666667,1,33.593000,normal,0
4,0,0.397758,1,0.750000,1,35.125000,normal,0
5,1,0.284250,0,0.600000,1,36.656000,normal,0
6,1,,1,0.666667,0,38.187000,normal,0
7,1,,1,0.714286,0,39.734000,normal,0
8,1,,1,0.750000,0,41.281000,normal,0
9,0,0.421115,1,0.777778,1,42.812000,normal,0
10,1,,1,0.800000,0,44.343000,normal,0
11,0,0.327865,1,0.818182,1,45.890000,normal,0
12,1,,1,0.833333,0,47.421000,normal,0
13,0,0.311643,1,0.846154,1,48.984000,normal,0
14,0,0.331917,1,0.857143,1,50.531000,normal,0
15,0,0.423375,1,0.866667,1,52.093000,normal,0
16,0,0.302544,1,0.875000,1,53.656000,normal,0
17,1,,1,0.882353,0,55.203000,normal,0
18,0,0.294932,1,0.888889,1,56.734000,normal,0
19,1,,1,0.894737,0,58.265000,normal,0
20,1,0.251085,0,0.850000,1,59.828000,normal,0
21,0,0.504004,1,0.857143,1,61.359000,normal,0
22,1,,1,0.863636,0,62.906000,normal,0
23,0,,0,0.826087,0,64.453000,normal,0
24,0,0.381481,1,0.833333,1,66.000000,normal,0
25,0,0.334461,1,0.840000,1,67.531000,normal,0
26,0,0.317707,1,0.846154,1,69.062000,normal,0
27,0,0.404542,1,0.851852,1,70.609000,normal,0
28,0,0.505698,1,0.857143,1,72.140000,normal,0
29,0,0.425867,1,0.862069,1,73.687000,normal,0
30,0,0.333221,1,0.866667,1,75.234000,normal,0
31,1,,1,0.870968,0,76.781000,normal,0
32,0,0.356882,1,0.875000,1,78.312000,normal,0
33,1,,1,0.878788,0,79.859000,normal,0
34,0,0.289217,1,0.882353,1,81.406000,normal,0
35,1,0.366047,0,0.857143,1,82.953000,normal,0
36,0,0.479279,1,0.861111,1,84.500000,normal,0
37,1,,1,0.864865,0,86.046000,normal,0
38,0,0.287975,1,0.868421,1,87.593000,normal,0
39,0,0.321602,1,0.871795,1,89.140000,normal,0
40,0,0.396251,1,0.875000,1,90.687000,normal,0
41,1,,1,0.878049,0,92.234000,normal,0
42,1,0.280024,0,0.857143,1,93.765000,normal,0
43,0,0.361477,1,0.860465,1,95.328000,normal,0
44,0,0.429938,1,0.863636,1,96.859000,normal,0
45,1,,1,0.866667,0,98.406000,normal,0
46,0,0.436589,1,0.869565,1,99.937000,normal,0
47,0,0.335486,1,0.872340,1,101.484000,normal,0
48,1,,1,0.875000,0,103.046000,normal,0
49,0,0.384609,1,0.877551,1,104.593000,normal,0
50,0,0.424087,1,0.880000,1,106.125000,normal,0
51,1,,1,0.882353,0,107.671000,normal,0
52,1,0.259721,0,0.865385,1,109.218000,normal,0
53,0,0.401222,1,0.867925,1,110.750000,normal,0
54,0,0.333929,1,0.870370,1,112.296000,normal,0
55,0,0.340535,1,0.872727,1,113.843000,normal,0
56,0,0.298769,1,0.875000,1,115.390000,normal,0
57,0,0.302979,1,0.877193,1,116.937000,normal,0
58,0,0.308049,1,0.879310,1,118.500000,normal,0
59,0,0.312809,1,0.881356,1,120.031000,normal,0
60,0,0.356922,1,0.883333,1,121.578000,normal,0
61,0,0.470544,1,0.885246,1,123.109000,normal,0
62,0,0.462595,1,0.887097,1,124.687000,normal,0
63,0,0.495156,1,0.888889,1,126.250000,normal,0
64,0,0.471548,1,0.890625,1,127.796000,normal,0
65,1,0.338518,0,0.876923,1,129.359000,normal,0
66,0,0.318217,1,0.878788,1,130.906000,normal,0
67,0,0.401464,1,0.880597,1,132.437000,normal,0
68,0,0.371596,1,0.882353,1,133.984000,normal,0
69,1,0.257283,0,0.869565,1,135.531000,normal,0
70,0,0.320908,1,0.871429,1,137.093000,normal,0
71,0,0.586311,1,0.873239,1,138.640000,normal,0
72,0,0.429432,1,0.875000,1,140.187000,normal,0
73,0,0.317062,1,0.876712,1,141.765000,normal,0
74,0,0.403812,1,0.878378,1,143.296000,normal,0
75,1,,1,0.880000,0,144.843000,normal,0
76,0,0.385811,1,0.881579,1,146.390000,normal,0
77,1,0.362719,0,0.870130,1,147.937000,normal,0
78,0,0.316287,1,0.871795,1,149.484000,normal,0
79,1,,1,0.873418,0,151.031000,normal,0
80,0,0.272135,1,0.875000,1,152.578000,normal,0
81,1,,1,0.876543,0,154.140000,normal,0
82,0,0.263436,1,0.878049,1,155.687000,normal,0
83,0,0.372428,1,0.879518,1,157.218000,normal,0
84,0,0.413509,1,0.880952,1,158.765000,normal,0
85,0,0.390586,1,0.882353,1,160.312000,normal,0
86,0,0.369203,1,0.883721,1,161.859000,normal,0
87,0,0.409063,1,0.885057,1,163.406000,normal,0
88,1,,1,0.886364,0,164.953000,normal,0
89,1,,1,0.887640,0,166.500000,normal,0
90,0,0.372437,1,0.888889,1,168.046000,normal,0
91,0,0.371597,1,0.890110,1,169.609000,normal,0
92,1,,1,0.891304,0,171.171000,normal,0
