trial,model_id,model_role,model_kind,target,probability_no_go,probability_attention_lapse,canonical_label,canonical_attention_lapse_label,canonical_slow_go_rt,canonical_omission_error,canonical_commission_error,canonical_composite_lapse
1,primary,primary,causal_bandpower_logreg,attention_lapse_binary,,1.0,0,0,0,1,0,1
2,primary,primary,causal_bandpower_logreg,attention_lapse_binary,,3.8174051271098253e-165,0,1,1,0,0,1
2,shadow-riemann_tangent_logreg,shadow,riemann_tangent_logreg,attention_lapse_binary,,0.1786130768033796,0,1,1,0,0,1
2,shadow-foundation_head_logreg,shadow,foundation_head_logreg,attention_lapse_binary,,0.0,0,1,1,0,0,1
2,shadow-foundation_prototype,shadow,foundation_prototype,attention_lapse_binary,,0.4601020058649701,0,1,1,0,0,1
2,shadow-torch_eegnet,shadow,torch_eegnet,attention_lapse_binary,,0.5215919317893242,0,1,1,0,0,1
3,primary,primary,causal_bandpower_logreg,attention_lapse_binary,,1.7538629401734037e-212,0,0,0,0,0,0
3,shadow-riemann_tangent_logreg,shadow,riemann_tangent_logreg,attention_lapse_binary,,0.2333216641410414,0,0,0,0,0,0
3,shadow-foundation_head_logreg,shadow,foundation_head_logreg,attention_lapse_binary,,0.0,0,0,0,0,0,0
3,shadow-foundation_prototype,shadow,foundation_prototype,attention_lapse_binary,,0.46010192880377787,0,0,0,0,0,0
3,shadow-torch_eegnet,shadow,torch_eegnet,attention_lapse_binary,,0.5693610274015294,0,0,0,0,0,0
4,primary,primary,causal_bandpower_logreg,attention_lapse_binary,,1.0,0,0,0,0,0,0
4,shadow-riemann_tangent_logreg,shadow,riemann_tangent_logreg,attention_lapse_binary,,0.11926010928368883,0,0,0,0,0,0
4,shadow-foundation_head_logreg,shadow,foundation_head_logreg,attention_lapse_binary,,0.0,0,0,0,0,0,0
4,shadow-foundation_prototype,shadow,foundation_prototype,attention_lapse_binary,,0.4601017390986071,0,0,0,0,0,0
4,shadow-torch_eegnet,shadow,torch_eegnet,attention_lapse_binary,,0.544747319040256,0,0,0,0,0,0
5,primary,primary,causal_bandpower_logreg,attention_lapse_binary,,7.578636181700304e-80,1,0,0,0,1,1
5,shadow-riemann_tangent_logreg,shadow,riemann_tangent_logreg,attention_lapse_binary,,0.14571712597936806,1,0,0,0,1,1
5,shadow-foundation_head_logreg,shadow,foundation_head_logreg,attention_lapse_binary,,0.0,1,0,0,0,1,1
5,shadow-foundation_prototype,shadow,foundation_prototype,attention_lapse_binary,,0.46010267743256805,1,0,0,0,1,1
5,shadow-torch_eegnet,shadow,torch_eegnet,attention_lapse_binary,,0.5037737181953039,1,0,0,0,1,1
6,primary,primary,causal_bandpower_logreg,attention_lapse_binary,,0.9999999999998825,1,0,0,0,0,0
6,shadow-riemann_tangent_logreg,shadow,riemann_tangent_logreg,attention_lapse_binary,,0.48681940140440927,1,0,0,0,0,0
6,shadow-foundation_head_logreg,shadow,foundation_head_logreg,attention_lapse_binary,,0.0,1,0,0,0,0,0
6,shadow-foundation_prototype,shadow,foundation_prototype,attention_lapse_binary,,0.4601021206607916,1,0,0,0,0,0
6,shadow-torch_eegnet,shadow,torch_eegnet,attention_lapse_binary,,0.4824796479738417,1,0,0,0,0,0
7,primary,primary,causal_bandpower_logreg,attention_lapse_binary,,1.0,1,0,0,0,0,0
7,shadow-riemann_tangent_logreg,shadow,riemann_tangent_logreg,attention_lapse_binary,,0.026740019368141698,1,0,0,0,0,0
7,shadow-foundation_head_logreg,shadow,foundation_head_logreg,attention_lapse_binary,,0.0,1,0,0,0,0,0
7,shadow-foundation_prototype,shadow,foundation_prototype,attention_lapse_binary,,0.4601025563443177,1,0,0,0,0,0
7,shadow-torch_eegnet,shadow,torch_eegnet,attention_lapse_binary,,0.4679881840263895,1,0,0,0,0,0
8,primary,primary,causal_bandpower_logreg,attention_lapse_binary,,3.2137586961003314e-179,1,0,0,0,0,0
8,shadow-riemann_tangent_logreg,shadow,riemann_tangent_logreg,attention_lapse_binary,,0.07203159021372216,1,0,0,0,0,0
8,shadow-foundation_head_logreg,shadow,foundation_head_logreg,attention_lapse_binary,,0.0,1,0,0,0,0,0
8,shadow-foundation_prototype,shadow,foundation_prototype,attention_lapse_binary,,0.4601040440371112,1,0,0,0,0,0
8,shadow-torch_eegnet,shadow,torch_eegnet,attention_lapse_binary,,0.4976914754263882,1,0,0,0,0,0
9,primary,primary,causal_bandpower_logreg,attention_lapse_binary,,1.0,0,0,0,0,0,0
9,shadow-riemann_tangent_logreg,shadow,riemann_tangent_logreg,attention_lapse_binary,,0.0636405058138368,0,0,0,0,0,0
9,shadow-foundation_head_logreg,shadow,foundation_head_logreg,attention_lapse_binary,,0.0,0,0,0,0,0,0
9,shadow-foundation_prototype,shadow,foundation_prototype,attention_lapse_binary,,0.4601020337180448,0,0,0,0,0,0
9,shadow-torch_eegnet,shadow,torch_eegnet,attention_lapse_binary,,0.4673798859775504,0,0,0,0,0,0
10,primary,primary,causal_bandpower_logreg,attention_lapse_binary,,0.0,1,0,0,0,0,0
10,shadow-riemann_tangent_logreg,shadow,riemann_tangent_logreg,attention_lapse_binary,,0.08384782245816376,1,0,0,0,0,0
10,shadow-foundation_head_logreg,shadow,foundation_head_logreg,attention_lapse_binary,,0.0,1,0,0,0,0,0
10,shadow-foundation_prototype,shadow,foundation_prototype,attention_lapse_binary,,0.46010219730484353,1,0,0,0,0,0
10,shadow-torch_eegnet,shadow,torch_eegnet,attention_lapse_binary,,0.48269355328508556,1,0,0,0,0,0
11,primary,primary,causal_bandpower_logreg,attention_lapse_binary,,7.768443888733293e-81,0,0,0,0,0,0
11,shadow-riemann_tangent_logreg,shadow,riemann_tangent_logreg,attention_lapse_binary,,0.048887706832313284,0,0,0,0,0,0
11,shadow-foundation_head_logreg,shadow,foundation_head_logreg,attention_lapse_binary,,0.0,0,0,0,0,0,0
11,shadow-foundation_prototype,shadow,foundation_prototype,attention_lapse_binary,,0.460102330911583,0,0,0,0,0,0
11,shadow-torch_eegnet,shadow,torch_eegnet,attention_lapse_binary,,0.5225660808447288,0,0,0,0,0,0
12,primary,primary,causal_bandpower_logreg,attention_lapse_binary,,2.298304179232026e-268,1,0,0,0,0,0
12,shadow-riemann_tangent_logreg,shadow,riemann_tangent_logreg,attention_lapse_binary,,0.18946867330338069,1,0,0,0,0,0
12,shadow-foundation_head_logreg,shadow,foundation_head_logreg,attention_lapse_binary,,0.0,1,0,0,0,0,0
12,shadow-foundation_prototype,shadow,foundation_prototype,attention_lapse_binary,,0.46010190429798253,1,0,0,0,0,0
12,shadow-torch_eegnet,shadow,torch_eegnet,attention_lapse_binary,,0.5479264293635565,1,0,0,0,0,0
13,primary,primary,causal_bandpower_logreg,attention_lapse_binary,,3.6270941375857747e-147,0,0,0,0,0,0
13,shadow-riemann_tangent_logreg,shadow,riemann_tangent_logreg,attention_lapse_binary,,0.0681617483752874,0,0,0,0,0,0
13,shadow-foundation_head_logreg,shadow,foundation_head_logreg,attention_lapse_binary,,0.0,0,0,0,0,0,0
13,shadow-foundation_prototype,shadow,foundation_prototype,attention_lapse_binary,,0.4601033878982357,0,0,0,0,0,0
13,shadow-torch_eegnet,shadow,torch_eegnet,attention_lapse_binary,,0.5835478497809068,0,0,0,0,0,0
14,primary,primary,causal_bandpower_logreg,attention_lapse_binary,,1.0,0,0,0,0,0,0
14,shadow-riemann_tangent_logreg,shadow,riemann_tangent_logreg,attention_lapse_binary,,0.043516270880364485,0,0,0,0,0,0
14,shadow-foundation_head_logreg,shadow,foundation_head_logreg,attention_lapse_binary,,0.0,0,0,0,0,0,0
14,shadow-foundation_prototype,shadow,foundation_prototype,attention_lapse_binary,,0.4601020557644796,0,0,0,0,0,0
14,shadow-torch_eegnet,shadow,torch_eegnet,attention_lapse_binary,,0.5686127197972273,0,0,0,0,0,0
15,primary,primary,causal_bandpower_logreg,attention_lapse_binary,,0.0,0,0,0,0,0,0
15,shadow-riemann_tangent_logreg,shadow,riemann_tangent_logreg,attention_lapse_binary,,0.1443056783276597,0,0,0,0,0,0
15,shadow-foundation_head_logreg,shadow,foundation_head_logreg,attention_lapse_binary,,0.0,0,0,0,0,0,0
15,shadow-foundation_prototype,shadow,foundation_prototype,attention_lapse_binary,,0.4601022025362251,0,0,0,0,0,0
15,shadow-torch_eegnet,shadow,torch_eegnet,attention_lapse_binary,,0.5450047856904084,0,0,0,0,0,0
16,primary,primary,causal_bandpower_logreg,attention_lapse_binary,,1.0966842710038584e-13,0,0,0,0,0,0
16,shadow-riemann_tangent_logreg,shadow,riemann_tangent_logreg,attention_lapse_binary,,0.04320952740906127,0,0,0,0,0,0
16,shadow-foundation_head_logreg,shadow,foundation_head_logreg,attention_lapse_binary,,0.0,0,0,0,0,0,0
16,shadow-foundation_prototype,shadow,foundation_prototype,attention_lapse_binary,,0.4601025041961705,0,0,0,0,0,0
16,shadow-torch_eegnet,shadow,torch_eegnet,attention_lapse_binary,,0.5033625472037503,0,0,0,0,0,0
17,primary,primary,causal_bandpower_logreg,attention_lapse_binary,,2.3317469460927017e-168,1,0,0,0,0,0
17,shadow-riemann_tangent_logreg,shadow,riemann_tangent_logreg,attention_lapse_binary,,0.03325451886663021,1,0,0,0,0,0
17,shadow-foundation_head_logreg,shadow,foundation_head_logreg,attention_lapse_binary,,0.0,1,0,0,0,0,0
17,shadow-foundation_prototype,shadow,foundation_prototype,attention_lapse_binary,,0.4601025526076468,1,0,0,0,0,0
17,shadow-torch_eegnet,shadow,torch_eegnet,attention_lapse_binary,,0.5296381223387812,1,0,0,0,0,0
18,primary,primary,causal_bandpower_logreg,attention_lapse_binary,,1.0,0,0,0,0,0,0
18,shadow-riemann_tangent_logreg,shadow,riemann_tangent_logreg,attention_lapse_binary,,0.046654503393228984,0,0,0,0,0,0
18,shadow-foundation_head_logreg,shadow,foundation_head_logreg,attention_lapse_binary,,0.0,0,0,0,0,0,0
18,shadow-foundation_prototype,shadow,foundation_prototype,attention_lapse_binary,,0.46010205469014703,0,0,0,0,0,0
18,shadow-torch_eegnet,shadow,torch_eegnet,attention_lapse_binary,,0.5351868184274404,0,0,0,0,0,0
19,primary,primary,causal_bandpower_logreg,attention_lapse_binary,,1.0,1,0,0,0,0,0
19,shadow-riemann_tangent_logreg,shadow,riemann_tangent_logreg,attention_lapse_binary,,0.19531908763111083,1,0,0,0,0,0
19,shadow-foundation_head_logreg,shadow,foundation_head_logreg,attention_lapse_binary,,0.0,1,0,0,0,0,0
19,shadow-foundation_prototype,shadow,foundation_prototype,attention_lapse_binary,,0.46010139298058333,1,0,0,0,0,0
19,shadow-torch_eegnet,shadow,torch_eegnet,attention_lapse_binary,,0.5287978762203164,1,0,0,0,0,0
20,primary,primary,causal_bandpower_logreg,attention_lapse_binary,,1.0,1,0,0,0,1,1
20,shadow-riemann_tangent_logreg,shadow,riemann_tangent_logreg,attention_lapse_binary,,0.11156749149025137,1,0,0,0,1,1
20,shadow-foundation_head_logreg,shadow,foundation_head_logreg,attention_lapse_binary,,0.0,1,0,0,0,1,1
20,shadow-foundation_prototype,shadow,foundation_prototype,attention_lapse_binary,,0.46010301300063106,1,0,0,0,1,1
20,shadow-torch_eegnet,shadow,torch_eegnet,attention_lapse_binary,,0.5211241091604206,1,0,0,0,1,1
