marker_label,lsl_timestamp,local_received_lsl_timestamp
dynamic_sart_task_start,6147.672732900,6147.672953500
dynamic_sart_practice_start,6148.917510200,6148.917720700
dynamic_sart_stimulus_onset__v=1__trial=-1__condition=go__digit=6__block=-1__phase=practice__practice=1,6148.957978200,6148.958318800
dynamic_sart_stimulus_offset__v=1__trial=-1__condition=go__digit=6__block=-1__phase=practice__practice=1,6149.206588200,6149.207059700
dynamic_sart_response_window_close__v=1__trial=-1__condition=go__digit=6__block=-1__phase=practice__practice=1,6150.556877900,6150.557181700
dynamic_sart_trial_complete__v=1__trial=-1__condition=go__digit=6__block=-1__phase=practice__practice=1,6150.556877900,6150.562977900
dynamic_sart_stimulus_onset__v=1__trial=-2__condition=go__digit=5__block=-1__phase=practice__practice=1,6150.956639400,6150.957049700
dynamic_sart_stimulus_offset__v=1__trial=-2__condition=go__digit=5__block=-1__phase=practice__practice=1,6151.207555000,6151.207916500
dynamic_sart_response_window_close__v=1__trial=-2__condition=go__digit=5__block=-1__phase=practice__practice=1,6152.557211400,6152.557539700
dynamic_sart_trial_complete__v=1__trial=-2__condition=go__digit=5__block=-1__phase=practice__practice=1,6152.557211400,6152.563359600
dynamic_sart_stimulus_onset__v=1__trial=-3__condition=go__digit=7__block=-1__phase=practice__practice=1,6152.950219900,6152.950583300
dynamic_sart_stimulus_offset__v=1__trial=-3__condition=go__digit=7__block=-1__phase=practice__practice=1,6153.206844200,6153.207248500
dynamic_sart_response_window_close__v=1__trial=-3__condition=go__digit=7__block=-1__phase=practice__practice=1,6154.548226700,6154.548539000
dynamic_sart_trial_complete__v=1__trial=-3__condition=go__digit=7__block=-1__phase=practice__practice=1,6154.548226700,6154.554738700
dynamic_sart_stimulus_onset__v=1__trial=-4__condition=go__digit=1__block=-1__phase=practice__practice=1,6154.940145200,6154.940478300
dynamic_sart_stimulus_offset__v=1__trial=-4__condition=go__digit=1__block=-1__phase=practice__practice=1,6155.190101800,6155.190336000
dynamic_sart_response_window_close__v=1__trial=-4__condition=go__digit=1__block=-1__phase=practice__practice=1,6156.540524200,6156.540945300
dynamic_sart_trial_complete__v=1__trial=-4__condition=go__digit=1__block=-1__phase=practice__practice=1,6156.540524200,6156.546401100
dynamic_sart_stimulus_onset__v=1__trial=-5__condition=no_go__digit=3__block=-1__phase=practice__practice=1,6156.931441900,6156.931768700
dynamic_sart_stimulus_offset__v=1__trial=-5__condition=no_go__digit=3__block=-1__phase=practice__practice=1,6157.181480000,6157.181685400
dynamic_sart_response_window_close__v=1__trial=-5__condition=no_go__digit=3__block=-1__phase=practice__practice=1,6158.537933200,6158.538223300
dynamic_sart_trial_complete__v=1__trial=-5__condition=no_go__digit=3__block=-1__phase=practice__practice=1,6158.537933200,6158.545068700
dynamic_sart_stimulus_onset__v=1__trial=-6__condition=no_go__digit=3__block=-1__phase=practice__practice=1,6158.934130400,6158.934482200
dynamic_sart_stimulus_offset__v=1__trial=-6__condition=no_go__digit=3__block=-1__phase=practice__practice=1,6159.182036700,6159.182353600
dynamic_sart_response_window_close__v=1__trial=-6__condition=no_go__digit=3__block=-1__phase=practice__practice=1,6160.532800100,6160.533089200
dynamic_sart_trial_complete__v=1__trial=-6__condition=no_go__digit=3__block=-1__phase=practice__practice=1,6160.532800100,6160.540708600
dynamic_sart_stimulus_onset__v=1__trial=-7__condition=no_go__digit=3__block=-1__phase=practice__practice=1,6160.923793300,6160.924002900
dynamic_sart_stimulus_offset__v=1__trial=-7__condition=no_go__digit=3__block=-1__phase=practice__practice=1,6161.173933000,6161.174242400
dynamic_sart_response_window_close__v=1__trial=-7__condition=no_go__digit=3__block=-1__phase=practice__practice=1,6162.523479700,6162.523761500
dynamic_sart_trial_complete__v=1__trial=-7__condition=no_go__digit=3__block=-1__phase=practice__practice=1,6162.523479700,6162.529738600
dynamic_sart_stimulus_onset__v=1__trial=-8__condition=go__digit=4__block=-1__phase=practice__practice=1,6162.907488200,6162.907829300
dynamic_sart_stimulus_offset__v=1__trial=-8__condition=go__digit=4__block=-1__phase=practice__practice=1,6163.163996000,6163.164578800
dynamic_sart_response_window_close__v=1__trial=-8__condition=go__digit=4__block=-1__phase=practice__practice=1,6164.506752700,6164.506968600
dynamic_sart_trial_complete__v=1__trial=-8__condition=go__digit=4__block=-1__phase=practice__practice=1,6164.506752700,6164.513042900
