global_trial_index,phase,is_practice,stimulus_onset_monotonic,stimulus_onset_lsl,scheduled_response_window_close_monotonic,scheduled_response_window_close_lsl,response_window_close_monotonic,response_window_close_lsl,response_window_close_overshoot_seconds,scheduled_next_trial_onset_monotonic,actual_next_trial_onset_monotonic,actual_next_trial_onset_lsl,actual_next_trial_within_block,actual_trial_duration_seconds,actual_trial_duration_lsl_seconds,next_onset_schedule_drift_seconds,next_onset_schedule_drift_timebase,planned_break_after_trial,probe_after,timing_semantics_version,timing_finalization_status
-1,practice,1,6148.923672100001,6148.9579782,6150.523672100001,6150.5579782,6150.522571900001,6150.5568779,0.0,6150.523672100001,6150.922333500001,6150.9566394,1,1.9986613999999463,1.9986612000002424,0.3986612000002423,lsl_flip,0,,2,measured_from_next_stimulus_flip
-2,practice,1,6150.922333500001,6150.9566394,6152.522333500001,6152.556639400001,6152.5229058,6152.5572114,0.0005722999994759448,6152.522333500001,6152.915914300001,6152.9502199,1,1.993580800000018,1.9935804999995526,0.39358049999955247,lsl_flip,0,,2,measured_from_next_stimulus_flip
-3,practice,1,6152.915914300001,6152.9502199,6154.515914300001,6154.5502199,6154.513920200001,6154.5482267,0.0,6154.515914300001,6154.905838600001,6154.9401452,1,1.9899242999999842,1.9899253000003227,0.38992530000032266,lsl_flip,0,,2,measured_from_next_stimulus_flip
-4,practice,1,6154.905838600001,6154.9401452,6156.505838600001,6156.540145200001,6156.5062182,6156.5405242,0.00037959999917802634,6156.505838600001,6156.897134600001,6156.9314419,1,1.9912960000001476,1.9912967000000208,0.3912967000000207,lsl_flip,0,,2,measured_from_next_stimulus_flip
-5,practice,1,6156.897134600001,6156.9314419,6158.497134600001,6158.531441900001,6158.5036274,6158.5379332,0.006492799999250565,6158.497134600001,6158.899824300001,6158.9341304,1,2.0026896999997916,2.002688499999749,0.4026884999997491,lsl_flip,0,,2,measured_from_next_stimulus_flip
-6,practice,1,6158.899824300001,6158.9341304,6160.499824300001,6160.5341304,6160.4984939000005,6160.5328001,0.0,6160.499824300001,6160.8894869000005,6160.9237933,1,1.9896625999999742,1.9896629000004395,0.38966290000043946,lsl_flip,0,,2,measured_from_next_stimulus_flip
-7,practice,1,6160.8894869000005,6160.9237933,6162.489486900001,6162.523793300001,6162.4891734,6162.5234797,0.0,6162.489486900001,6162.873182400001,6162.9074882,1,1.9836955000000671,1.983694900000046,0.3836949000000458,lsl_flip,0,,2,measured_from_next_stimulus_flip
-8,practice,1,6162.873182400001,6162.9074882,6164.473182400001,6164.507488200001,6164.472446600001,6164.5067527,0.0,6164.473182400001,6164.8725235,6164.906829,1,1.999341099999583,1.9993407999991177,0.39934079999911765,lsl_flip,0,,2,measured_from_next_stimulus_flip
-9,practice,1,6164.8725235,6164.906829,6166.4725235000005,6166.506829,6166.472570000001,6166.506876,4.650000028050272e-05,6166.4725235000005,6166.8645556,6166.8988612,1,1.9920320999999603,1.9920322000007218,0.3920322000007217,lsl_flip,0,,2,measured_from_next_stimulus_flip
-10,practice,1,6166.8645556,6166.8988612,6168.4645556000005,6168.498861200001,6168.464298500001,6168.4986041,0.0,6168.4645556000005,6168.855970600001,6168.8902763,1,1.9914150000004156,1.991415099999358,0.391415099999358,lsl_flip,0,,2,measured_from_next_stimulus_flip
-11,practice,1,6168.855970600001,6168.8902763,6170.455970600001,6170.4902763,6170.4558837,6170.4901896,0.0,6170.455970600001,6170.847465600001,6170.8817711,1,1.9914950000002136,1.9914948000005097,0.3914948000005096,lsl_flip,0,,2,measured_from_next_stimulus_flip
-12,practice,1,6170.847465600001,6170.8817711,6172.447465600001,6172.4817711000005,6172.4497029,6172.4840099,0.002237299999251263,6172.447465600001,6179.8646275,6179.8989334,0,9.017161899999337,9.017162299999654,,,0,,2,measured_from_next_stimulus_flip
1,support,0,6179.8646275,6179.8989334,6181.4646275000005,6181.4989334,6181.464562,6181.4988689,0.0,6181.4646275000005,6181.464616200001,6181.4989165,1,1.599988700000722,1.5999830999999176,-1.690000008247594e-05,lsl_flip,0,0,2,measured_from_next_stimulus_flip
2,support,0,6181.464616200001,6181.4989165,6183.064616200001,6183.0989165,6183.063633600001,6183.0979394,0.0,6183.064616200001,6183.063674800001,6183.0979747,1,1.5990585999998075,1.5990582000003997,-0.0009417999996004234,lsl_flip,0,0,2,measured_from_next_stimulus_flip
